metric,asedx_p_2017,LP_asedx_p_2017,asedx_p_2017_GE65,LP_asedx_p_2017_GE65,asedx_p_2017_LT65,LP_asedx_p_2017_LT65,asedx_p_2018,LP_asedx_p_2018,asedx_p_2018_GE65,LP_asedx_p_2018_GE65,asedx_p_2018_LT65,LP_asedx_p_2018_LT65,asedx_p_2019,LP_asedx_p_2019,asedx_p_2019_GE65,LP_asedx_p_2019_GE65,asedx_p_2019_LT65,LP_asedx_p_2019_LT65,asedx_p_2020,LP_asedx_p_2020,asedx_p_2020-2023,LP_asedx_p_2020-2023,asedx_p_2020-2023_GE65,LP_asedx_p_2020-2023_GE65,asedx_p_2020-2023_LT65,LP_asedx_p_2020-2023_LT65,asedx_p_2020_GE65,LP_asedx_p_2020_GE65,asedx_p_2020_LT65,LP_asedx_p_2020_LT65,asedx_p_2021,LP_asedx_p_2021,asedx_p_2021_GE65,LP_asedx_p_2021_GE65,asedx_p_2021_LT65,LP_asedx_p_2021_LT65,asedx_p_2022,LP_asedx_p_2022,asedx_p_2022_GE65,LP_asedx_p_2022_GE65,asedx_p_2022_LT65,LP_asedx_p_2022_LT65,asedx_p_2023,LP_asedx_p_2023,asedx_p_2023_GE65,LP_asedx_p_2023_GE65,asedx_p_2023_LT65,LP_asedx_p_2023_LT65,asedx_p_2024,LP_asedx_p_2024,asedx_p_2024_GE65,LP_asedx_p_2024_GE65,asedx_p_2024_LT65,LP_asedx_p_2024_LT65,Sum_|LP|_LP<=-5.0
f1448114,-0.01631,-0.105,-0.048686,-0.382,0.045507,-0.351,0.007085,-0.043,0.000647,-0.004,0.00498,-0.03,0.024288,-0.165,0.060998,-0.513,-0.049155,-0.387,-0.465837,-15.917,-0.415994,-12.538,-0.343805,-8.542,-0.391713,-11.083,-0.421541,-12.887,-0.454163,-15.075,-0.488689,-17.66,-0.404314,-11.824,-0.456265,-15.224,-0.274999,-5.575,-0.226979,-3.93,-0.205641,-3.301,-0.150501,-1.948,-0.091487,-0.904,-0.162346,-2.207,-0.110276,-1.194,-0.079345,-0.737,-0.131639,-1.571,126.325
f1448014,0.01629,-0.105,0.048672,-0.382,-0.045515,-0.351,-0.007083,-0.043,-0.000646,-0.004,-0.004985,-0.03,-0.02427,-0.165,-0.060985,-0.513,0.049168,-0.387,0.465832,-15.916,0.415997,-12.538,0.343814,-8.543,0.391697,-11.082,0.421543,-12.887,0.45414,-15.073,0.488681,-17.659,0.404314,-11.824,0.456242,-15.223,0.275011,-5.576,0.226993,-3.93,0.205641,-3.301,0.150509,-1.949,0.091496,-0.904,0.162344,-2.207,0.110287,-1.194,0.079359,-0.737,0.13163,-1.571,126.321
f1539214,0.0872,-0.843,0.053193,-0.429,0.079543,-0.739,0.016283,-0.105,0.022334,-0.15,-0.010477,-0.065,-0.057311,-0.473,-0.032861,-0.235,-0.057454,-0.474,-0.070795,-0.628,-0.394209,-11.228,-0.407654,-12.025,-0.210462,-3.438,-0.079582,-0.74,-0.037743,-0.278,-0.518433,-20.134,-0.497674,-18.382,-0.382934,-10.586,-0.354585,-9.078,-0.351297,-8.912,-0.164369,-2.253,-0.278465,-5.707,-0.300636,-6.593,-0.060784,-0.511,-0.346451,-8.672,-0.374171,-10.104,-0.12094,-1.376,121.421
f1448314,0.005298,-0.032,0.031133,-0.22,-0.037933,-0.28,-0.001143,-0.007,0.000136,-0.001,0.003917,-0.023,-0.019999,-0.132,-0.044718,-0.343,0.031818,-0.226,0.392635,-11.136,0.410933,-12.225,0.36847,-9.798,0.329085,-7.843,0.361881,-9.452,0.365818,-9.658,0.518285,-20.121,0.453826,-15.051,0.447142,-14.584,0.286098,-6.004,0.264609,-5.191,0.164304,-2.251,0.164171,-2.248,0.138785,-1.709,0.103574,-1.086,0.135927,-1.653,0.128319,-1.509,0.093879,-0.939,121.063
f1449214,-0.005314,-0.032,-0.03115,-0.221,0.037935,-0.28,0.001178,-0.007,-9.9e-05,-0.001,-0.003915,-0.023,0.019987,-0.132,0.044705,-0.343,-0.031821,-0.226,-0.392619,-11.136,-0.410926,-12.225,-0.368464,-9.798,-0.329083,-7.843,-0.361867,-9.451,-0.365811,-9.657,-0.518274,-20.12,-0.453823,-15.051,-0.447122,-14.583,-0.286102,-6.004,-0.264605,-5.191,-0.164324,-2.252,-0.164166,-2.248,-0.138777,-1.709,-0.103578,-1.086,-0.135929,-1.653,-0.128323,-1.509,-0.09388,-0.939,121.059
f1443214,-0.037598,-0.277,-0.002087,-0.012,-0.06418,-0.55,0.002502,-0.015,0.022103,-0.148,-0.022082,-0.148,0.015236,-0.098,-0.037811,-0.279,0.083994,-0.799,0.41988,-12.782,0.427727,-13.284,0.33712,-8.22,0.408189,-12.058,0.388569,-10.904,0.385351,-10.721,0.478496,-16.866,0.378468,-10.339,0.442581,-14.271,0.293168,-6.286,0.202293,-3.208,0.265376,-5.219,0.185662,-2.767,0.08795,-0.854,0.223079,-3.81,0.182204,-2.679,0.140856,-1.75,0.175984,-2.526,120.95
f1445214,0.084145,-0.801,0.05221,-0.418,0.074423,-0.674,0.016389,-0.106,0.019088,-0.125,-0.004994,-0.03,-0.054165,-0.439,-0.028686,-0.2,-0.057494,-0.475,-0.115344,-1.279,-0.405659,-11.904,-0.417582,-12.637,-0.221434,-3.76,-0.125063,-1.45,-0.068416,-0.6,-0.518025,-20.098,-0.496822,-18.313,-0.383246,-10.603,-0.355828,-9.141,-0.350592,-8.877,-0.169055,-2.361,-0.271245,-5.435,-0.290746,-6.188,-0.063749,-0.545,-0.335625,-8.149,-0.362334,-9.476,-0.118688,-1.336,120.821
f1440214,-0.023201,-0.156,0.013603,-0.086,-0.063911,-0.547,-0.00719,-0.044,0.015043,-0.096,-0.028445,-0.198,0.008944,-0.055,-0.046586,-0.361,0.088612,-0.863,0.353625,-9.029,0.427875,-13.294,0.341559,-8.433,0.410169,-12.178,0.322961,-7.563,0.338318,-8.277,0.495027,-18.167,0.398901,-11.502,0.463874,-15.773,0.310796,-7.024,0.225398,-3.881,0.275706,-5.602,0.21531,-3.578,0.124619,-1.441,0.232593,-4.105,0.211217,-3.459,0.169002,-2.36,0.197357,-3.073,116.842
f1440714,0.058318,-0.484,0.015645,-0.101,0.084581,-0.807,0.017594,-0.114,0.003175,-0.019,0.021411,-0.143,-0.039647,-0.295,0.012664,-0.08,-0.097645,-0.995,-0.297616,-6.468,-0.43234,-13.586,-0.363436,-9.533,-0.391788,-11.088,-0.275447,-5.592,-0.277767,-5.68,-0.491301,-17.868,-0.413324,-12.372,-0.445278,-14.456,-0.331618,-7.961,-0.25221,-4.753,-0.287176,-6.046,-0.248541,-4.628,-0.172886,-2.452,-0.227098,-3.933,-0.260182,-5.032,-0.226629,-3.919,-0.207384,-3.35,115.682
f1443014,-0.034218,-0.247,-0.004829,-0.029,-0.054962,-0.447,0.006316,-0.038,0.024371,-0.165,-0.015012,-0.096,0.0126,-0.079,-0.033688,-0.242,0.069577,-0.614,0.383378,-10.611,0.433208,-13.643,0.350504,-8.873,0.385053,-10.705,0.352681,-8.982,0.354525,-9.075,0.50957,-19.371,0.406643,-11.964,0.456581,-15.247,0.305227,-6.786,0.224344,-3.849,0.24304,-4.444,0.200974,-3.171,0.117229,-1.311,0.194841,-3.006,0.198573,-3.106,0.168355,-2.345,0.156601,-2.079,115.257
