metric,explain,linguistic_label,k400_label,domain_label
f00004,Secondary_Entity_Of_File=NA,Rural Urban Classification and Geographic Codes,County administrative and geographic identifier codes,
f00011,Federal_Information_Processing_Standards_State_Code=NA,Rural Urban Classification and Geographic Codes,County administrative and geographic identifier codes,
f00012,Federal_Information_Processing_Standards_County_Code=NA,Rural Urban Classification and Geographic Codes,Federal Information Processing Standards County Code=NA,
f0002013,Rural_Urban_Continuum_Code=2013,Rural Urban Classification and Geographic Codes,"General sociodemographic metrics: housing, population, income, Medicare, and urban/rural","Rural geography: population, housing, and land area"
f00023,Federal_Region_Code=NA,Rural Urban Classification and Geographic Codes,"Census region, division, and federal region codes",
f0017970,Census_Population_(Hundreds)=1970,,,
f0081176,Elevation_Feet=1976,Population Density and Geographic Area Characteristics,"Air quality, elevation, Medicare cost and utilization metrics (mixed)",
f0355304,Bureau_of_Economic_Analysis_Economic_Area_Code=2004,Rural Urban Classification and Geographic Codes,Statistical and economic area classification codes,
f0355404,Bureau_of_Economic_Analysis_Economic_Area_Name=2004,,,
f04101,Contiguous_County_#_1=NA,Adjacent County Geographic Relationships,County administrative and geographic identifier codes,
f04102,Contiguous_County_#_2=NA,Adjacent County Geographic Relationships,County administrative and geographic identifier codes,
f04103,Contiguous_County_#_3=NA,Adjacent County Geographic Relationships,County administrative and geographic identifier codes,
f04104,Contiguous_County_#_4=NA,Adjacent County Geographic Relationships,County administrative and geographic identifier codes,
f04105,Contiguous_County_#_5=NA,Adjacent County Geographic Relationships,County administrative and geographic identifier codes,
f04106,Contiguous_County_#_6=NA,Adjacent County Geographic Relationships,County administrative and geographic identifier codes,
f04107,Contiguous_County_#_7=NA,Adjacent County Geographic Relationships,County administrative and geographic identifier codes,
f04108,Contiguous_County_#_8=NA,Adjacent County Geographic Relationships,County administrative and geographic identifier codes,
f04109,Contiguous_County_#_9=NA,Adjacent County Geographic Relationships,Contiguous county codes (9-11),
f04110,Contiguous_County_#_10=NA,Adjacent County Geographic Relationships,Contiguous county codes (9-11),
f04111,Contiguous_County_#_11=NA,Adjacent County Geographic Relationships,Contiguous county codes (9-11),
f04112,Contiguous_County_#_12=NA,Adjacent County Geographic Relationships,Contiguous county codes (12-13),
f04113,Contiguous_County_#_13=NA,Adjacent County Geographic Relationships,Contiguous county codes (12-13),
f04439,Census_Region_Code=NA,Rural Urban Classification and Geographic Codes,"Census region, division, and federal region codes",
f04440,Census_Division_Code=NA,Rural Urban Classification and Geographic Codes,"Census region, division, and federal region codes",
f0453010,Census_Population=2010,Population Density and Geographic Area Characteristics,"General sociodemographic metrics: housing, population, income, Medicare, and urban/rural","Rural geography: population, housing, and land area"
f0453110,White_Population=2010,White Population Demographics by Age Gender,"Black/African American population demographics, socioeconomics, and labor force",
f0453210,Black_African_American_Population=2010,Black African American Population Demographics,"Black/African American population demographics, socioeconomics, and labor force",
f0453310,American_Indian_Alaska_Native_Population=2010,American Indian Alaska Native Population Demographics,"American Indian/Alaska Native population, demographics, and socioeconomic status",AIAN population size and age-sex distribution
f0453510,Some_Other_Race_Population=2010,Racial and Ethnic Population Composition,Hispanic/Latino and some other race population demographics and socioeconomics,
f0453610,Hispanic_Latino_Population=2010,Racial and Ethnic Population Composition,Hispanic/Latino and some other race population demographics and socioeconomics,
f0453710,Percent_White_Population=2010,White Population Demographics by Age Gender,"Black/African American population demographics, socioeconomics, and labor force",
f0453810,Percent_Black_African_American_Population=2010,Black African American Population Demographics,"Black/African American population demographics, socioeconomics, and labor force",
f0453910,Percent_American_Indian_Alaska_Native_Population=2010,American Indian Alaska Native Population Demographics,"American Indian/Alaska Native population, demographics, and socioeconomic status",AIAN population size and age-sex distribution
f0454110,Percent_Some_Other_Population=2010,Population Density and Geographic Area Characteristics,Hispanic/Latino and some other race population demographics and socioeconomics,
f0454210,Percent_Hispanic_Latino_Population=2010,Racial and Ethnic Population Composition,Hispanic/Latino and some other race population demographics and socioeconomics,
f0460218,Total_M.D.'s_Total_Non_Federal=2018,Healthcare Provider Workforce and Facility Resources,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
