fips,Stabr,Area_name,Stabr_check,Area_name_check,POP_COU,HOU_COU,ALAND_COU,ALAND_Mi2_COU,POPDEN_COU,HOUDEN_COU,TOTALBLOCKS,POP_URB,POPPCT_URB,HOU_URB,HOUPCT_URB,ALAND_URB,ALAND_Mi2_URB,ALAND_PCT_URB,POPDEN_URB,HOUDEN_URB,URBANBLOCKS,POP_RUR,POPPCT_RUR,HOU_RUR,HOUPCT_RUR,ALAND_RUR,ALAND_Mi2_RUR,ALAND_PCT_RUR,POPDEN_RUR,HOUDEN_RUR,RURALBLOCKS
01001,AL,Autauga County,Alabama,Autauga,58805,24350,1539634184,594.45,98.92,40.96,1512,34885,59.32,14359,58.97,55907164,21.59,3.63,1616.11,665.21,521,23920,40.68,9991,41.03,1483727020,572.87,96.37,41.75,17.44,991
01003,AL,Baldwin County,Alabama,Baldwin,231767,124148,4117656199,1589.83,145.78,78.09,6337,144654,62.41,83408,67.18,355056178,137.09,8.62,1055.2,608.43,3156,87113,37.59,40740,32.82,3762600021,1452.74,91.38,59.96,28.04,3181
01005,AL,Barbour County,Alabama,Barbour,25223,11618,2292160149,885.0,28.5,13.13,1283,8596,34.08,4080,35.12,16132419,6.23,0.7,1380.06,655.03,272,16627,65.92,7538,64.88,2276027730,878.77,99.3,18.92,8.58,1011
01007,AL,Bibb County,Alabama,Bibb,22293,9002,1612188717,622.47,35.81,14.46,1090,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,22293,100.0,9002,100.0,1612188717,622.47,100.0,35.81,14.46,1090
01009,AL,Blount County,Alabama,Blount,59134,24622,1670259090,644.89,91.7,38.18,2404,5624,9.51,2285,9.28,11325973,4.37,0.68,1286.09,522.53,197,53510,90.49,22337,90.72,1658933117,640.51,99.32,83.54,34.87,2207
01011,AL,Bullock County,Alabama,Bullock,10357,4516,1613083467,622.81,16.63,7.25,573,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,10357,100.0,4516,100.0,1613083467,622.81,100.0,16.63,7.25,573
01013,AL,Butler County,Alabama,Butler,19051,9806,2012002546,776.83,24.52,12.62,1238,5823,30.57,2890,29.47,14521137,5.61,0.72,1038.6,515.46,196,13228,69.43,6916,70.53,1997481409,771.23,99.28,17.15,8.97,1042
01015,AL,Calhoun County,Alabama,Calhoun,116441,53052,1569246127,605.89,192.18,87.56,4873,73947,63.51,34203,64.47,189727188,73.25,12.09,1009.46,466.91,2816,42494,36.49,18849,35.53,1379518939,532.63,87.91,79.78,35.39,2057
01017,AL,Chambers County,Alabama,Chambers,34772,16373,1545085601,596.56,58.29,27.45,1717,17127,49.26,7985,48.77,40703667,15.72,2.63,1089.8,508.09,655,17645,50.74,8388,51.23,1504381934,580.84,97.37,30.38,14.44,1062
01019,AL,Cherokee County,Alabama,Cherokee,24971,14513,1433620850,553.52,45.11,26.22,1565,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,24971,100.0,14513,100.0,1433620850,553.52,100.0,45.11,26.22,1565
