fips,pop_2000,pop_2001,pop_2003,pop_2010,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019,pop_2020,pop_2021,pop_2022,pop_2023,pop_2024
1001,44021.0,44889.0,46800.0,54761.0,54970.0,54747.0,54922.0,54903.0,55302.0,55448.0,55533.0,55769.0,56145.0,59191.0,59736.0,60436.0,61464.0
1003,141342.0,144875.0,151509.0,183121.0,190203.0,194978.0,199306.0,203101.0,207787.0,212737.0,218071.0,223565.0,229287.0,239411.0,246577.0,254107.0,261608.0
1005,29015.0,28863.0,28594.0,27325.0,27172.0,26946.0,26768.0,26300.0,25828.0,25169.0,24887.0,24657.0,24589.0,24517.0,24722.0,24644.0,24358.0
1007,19913.0,21028.0,21399.0,22858.0,22657.0,22510.0,22541.0,22553.0,22590.0,22532.0,22300.0,22313.0,22136.0,22344.0,21983.0,21890.0,22258.0
1009,51107.0,51845.0,53457.0,57372.0,57585.0,57630.0,57536.0,57535.0,57487.0,57801.0,57770.0,57840.0,57879.0,59050.0,59491.0,59777.0,60163.0
1011,11581.0,11358.0,11316.0,10876.0,10610.0,10557.0,10668.0,10404.0,10397.0,10181.0,10165.0,10144.0,9976.0,10126.0,10126.0,9908.0,9901.0
1013,21325.0,21139.0,20833.0,20933.0,20672.0,20359.0,20332.0,20168.0,20040.0,19911.0,19675.0,19501.0,19504.0,18856.0,18652.0,18357.0,18256.0
1015,111081.0,111266.0,112705.0,118420.0,117227.0,116528.0,115991.0,115550.0,115036.0,114746.0,114298.0,114070.0,113469.0,115633.0,115744.0,116403.0,116427.0
1017,36571.0,36274.0,35680.0,34105.0,34088.0,34125.0,33964.0,33991.0,33742.0,33716.0,33570.0,33244.0,32865.0,34396.0,34093.0,34087.0,33813.0
1019,24006.0,24182.0,24591.0,25968.0,25961.0,26022.0,25900.0,25739.0,25769.0,25822.0,26035.0,26254.0,26294.0,25060.0,25334.0,25700.0,26138.0
1021,39897.0,40197.0,41079.0,43645.0,43572.0,43617.0,43751.0,43693.0,43854.0,44085.0,44084.0,44313.0,44397.0,45255.0,45856.0,46525.0,47262.0
1023,15875.0,15677.0,15199.0,13848.0,13565.0,13401.0,13322.0,13237.0,13049.0,12923.0,12810.0,12577.0,12418.0,12544.0,12420.0,12263.0,12052.0
1025,27819.0,27624.0,27090.0,25767.0,25161.0,25131.0,24873.0,24711.0,24342.0,24083.0,23965.0,23651.0,23291.0,22735.0,22545.0,22305.0,22142.0
1027,14263.0,14298.0,14203.0,13897.0,13433.0,13406.0,13443.0,13415.0,13393.0,13355.0,13301.0,13265.0,13112.0,14156.0,14198.0,14157.0,14239.0
1029,14172.0,14222.0,14438.0,15004.0,14889.0,14974.0,15029.0,14923.0,14871.0,14924.0,15047.0,14952.0,14967.0,15151.0,15353.0,15658.0,15905.0
1031,43580.0,43716.0,44315.0,50204.0,51159.0,50709.0,50693.0,51004.0,51281.0,51943.0,52097.0,52639.0,53230.0,54201.0,54769.0,55707.0,56358.0
1033,54997.0,54793.0,54279.0,54527.0,54578.0,54544.0,54484.0,54439.0,54483.0,54682.0,54970.0,55241.0,55411.0,57615.0,58023.0,58382.0,58785.0
1035,14035.0,13940.0,13585.0,13234.0,13043.0,12908.0,12674.0,12677.0,12495.0,12431.0,12264.0,12055.0,11851.0,11317.0,11220.0,11177.0,11109.0
1037,11844.0,11848.0,11732.0,11779.0,11343.0,11252.0,11037.0,10935.0,10812.0,10724.0,10619.0,10677.0,10650.0,10321.0,10283.0,10267.0,10291.0
1039,37514.0,37069.0,36860.0,37810.0,37809.0,37820.0,37766.0,37566.0,37400.0,37077.0,36993.0,37082.0,36930.0,37512.0,37508.0,37861.0,37748.0
1041,13692.0,13724.0,13652.0,13868.0,13914.0,13847.0,13851.0,13851.0,13911.0,13871.0,13855.0,13811.0,13681.0,13062.0,13096.0,13168.0,13114.0
1043,77473.0,77415.0,77657.0,80456.0,80292.0,80704.0,81081.0,81771.0,82434.0,82830.0,83300.0,83644.0,84515.0,89578.0,90597.0,91909.0,92604.0
1045,49124.0,49254.0,49215.0,50396.0,50313.0,49807.0,49465.0,49428.0,49476.0,49467.0,49268.0,49294.0,48959.0,49344.0,49472.0,49852.0,50067.0
1047,46198.0,46132.0,45170.0,43855.0,42794.0,41981.0,41560.0,40947.0,40105.0,39263.0,38270.0,37182.0,36098.0,37496.0,36772.0,36294.0,35545.0
1049,64650.0,65678.0,66530.0,71133.0,70913.0,70881.0,70963.0,71065.0,71116.0,71441.0,71430.0,71506.0,71658.0,71880.0,72046.0,72626.0,73122.0
1051,66160.0,67459.0,69935.0,79558.0,80211.0,80557.0,80563.0,80903.0,81258.0,81452.0,81189.0,81575.0,82158.0,88734.0,89566.0,90416.0,91042.0
1053,38325.0,38197.0,37796.0,38352.0,38029.0,37775.0,37749.0,37676.0,37500.0,37010.0,36515.0,36569.0,36281.0,36628.0,36620.0,36582.0,36630.0
1055,103286.0,102976.0,103025.0,104440.0,104271.0,103891.0,103417.0,103033.0,102931.0,103076.0,102766.0,102460.0,102371.0,102887.0,102821.0,103174.0,103207.0
1057,18512.0,18384.0,18178.0,17232.0,16955.0,16837.0,16784.0,16711.0,16581.0,16478.0,16451.0,16279.0,16241.0,16119.0,16041.0,15913.0,15863.0
1059,31242.0,31190.0,30874.0,31746.0,31699.0,31566.0,31572.0,31532.0,31674.0,31670.0,31495.0,31587.0,31507.0,31991.0,31947.0,31941.0,31874.0
1061,25740.0,25565.0,25702.0,26778.0,26928.0,26688.0,26605.0,26645.0,26497.0,26404.0,26296.0,26309.0,26411.0,26632.0,26787.0,27052.0,27259.0
1063,9902.0,9866.0,9805.0,8990.0,8849.0,8749.0,8585.0,8509.0,8485.0,8312.0,8212.0,8104.0,7990.0,7583.0,7412.0,7299.0,7127.0
