metric,raw_year,pop_year,description
HOU_COU,2020,2020,2020 Census total housing unit count of the County
HOU_RUR,2020,2020,2020 Census housing units in the County within Rural blocks
HOU_URB,2020,2020,2020 Census housing units in the County within Urban blocks
POP_COU,2020,2020,2020 Census total population of the County
POP_RUR,2020,2020,2020 Census population of the County within Rural blocks
POP_URB,2020,2020,2020 Census population of the County within Urban blocks
RURALBLOCKS,2020,2020,2020 blocks classified as Rural within County
TOTALBLOCKS,2020,2020,2020 total blocks within the County
URBANBLOCKS,2020,2020,2020 blocks classified as Urban within County
f0453010,2010,2010,Census_Population=2010
f0453110,2010,2010,White_Population=2010
f0453210,2010,2010,Black_African_American_Population=2010
f0453310,2010,2010,American_Indian_Alaska_Native_Population=2010
f0453510,2010,2010,Some_Other_Race_Population=2010
f0453610,2010,2010,Hispanic_Latino_Population=2010
f0460218,2018,2018,Total_M.D.'s_Total_Non_Federal=2018
f0460318,2018,2018,M.D.'s_Patient_Care_Office_Based_Non_Federal=2018
f0460518,2018,2018,M.D.'s_Total_Patient_Care_Hospital_Full_Time_Staff=2018
f0460618,2018,2018,M.D.'s_Total_Administration=2018
f0460718,2018,2018,M.D.'s_Total_Teaching=2018
f0460918,2018,2018,M.D.'s_Total_Other=2018
f0461018,2018,2018,Medical_Doctors_Total_General_Practice_Total=2018
f0461318,2018,2018,Medical_Doctors_Total_General_Practice_Patient_Care_Hospital_Full_Time_Staff=2018
f0461418,2018,2018,Medical_Doctors_Total_General_Practice_Administration=2018
f0461518,2018,2018,Medical_Doctors_Total_General_Practice_Teaching=2018
f0461718,2018,2018,Medical_Doctors_Total_General_Practice_Other=2018
f0461818,2018,2018,Medical_Medicine_Specialty_Total_Total=2018
f0462118,2018,2018,Medical_Medicine_Specialty_Total_Patient_Care_Hospital_Full_Time_Staff=2018
f0462218,2018,2018,Medical_Medicine_Specialty_Total_Administration=2018
f0462318,2018,2018,Medical_Medicine_Specialty_Total_Teaching=2018
f0462518,2018,2018,Medical_Medicine_Specialty_Total_Other=2018
f0463118,2018,2018,Cardiovas_Disease_Total=2018
f0463318,2018,2018,Cardiovas_Disease_Patient_Care_Office_Based=2018
f0463518,2018,2018,Cardiovas_Disease_Patient_Care_Hospital_Full_Time_Staff=2018
f0463618,2018,2018,Dermatology_Total=2018
f0463818,2018,2018,Dermatology_Patient_Care_Office_Based=2018
f0464018,2018,2018,Dermatology_Patient_Care_Hospital_Full_Time_Staff=2018
f0464118,2018,2018,Gastroenterology_Total=2018
f0464318,2018,2018,Gastroenterology_Patient_Care_Office_Based=2018
f0464518,2018,2018,Gastroenterology_Patient_Care_Hospital_Full_Time_Staff=2018
f0466118,2018,2018,Pediatric_Cardiolgy_Total=2018
f0466318,2018,2018,Pediatric_Cardiolgy_Patient_Care_Office_Based=2018
f0466518,2018,2018,Pediatric_Cardiolgy_Patient_Care_Hospital_Full_Time_Staff=2018
f0466618,2018,2018,Pulmonary_Disease_Total=2018
f0466818,2018,2018,Pulmonary_Disease_Patient_Care_Office_Based=2018
f0467018,2018,2018,Pulmonary_Disease_Patient_Care_Hospital_Full_Time_Staff=2018
f0467118,2018,2018,Surgical_Specialty_Total_Total=2018
f0467518,2018,2018,Surgical_Specialty_Total_Patient_Care_Hospital_Full_Time_Staff=2018
f0467618,2018,2018,Surgical_Specialty_Total_Administration=2018
f0467718,2018,2018,Surgical_Specialty_Total_Teaching=2018
f0467918,2018,2018,Surgical_Specialty_Total_Other=2018
f0468018,2018,2018,General_Surgical_Total=2018
f0468218,2018,2018,General_Surgical_Patient_Care_Office_Based=2018
f0468418,2018,2018,General_Surgical_Patient_Care_Hospital_Full_Time_Staff=2018
f0468518,2018,2018,Neurolgcal_Surgical_Total=2018
f0468718,2018,2018,Neurolgcal_Surgical_Patient_Care_Office_Based=2018
f0468918,2018,2018,Neurolgcal_Surgical_Patient_Care_Hospital_Full_Time_Staff=2018
f0469518,2018,2018,Ophthalmolgy_Total=2018
f0469718,2018,2018,Ophthalmolgy_Patient_Care_Office_Based=2018
f0469918,2018,2018,Ophthalmolgy_Patient_Care_Hospital_Full_Time_Staff=2018
f0470018,2018,2018,Orthopedic_Surgical_Total=2018
f0470218,2018,2018,Orthopedic_Surgical_Patient_Care_Office_Based=2018
f0470418,2018,2018,Orthopedic_Surgical_Patient_Care_Hospital_Full_Time_Staff=2018
f0470518,2018,2018,Otolaryngolgy_Total=2018
f0470718,2018,2018,Otolaryngolgy_Patient_Care_Office_Based=2018
f0470918,2018,2018,Otolaryngolgy_Patient_Care_Hospital_Full_Time_Staff=2018
f0471018,2018,2018,Plastic_Surgical_Total=2018
f0471218,2018,2018,Plastic_Surgical_Patient_Care_Office_Based=2018
f0471418,2018,2018,Plastic_Surgical_Patient_Care_Hospital_Full_Time_Staff=2018
f0471518,2018,2018,Colon_Rectal_Surgical_Total=2018
f0471718,2018,2018,Colon_Rectal_Surgical_Patient_Care_Office_Based=2018
f0471918,2018,2018,Colon_Rectal_Surgical_Patient_Care_Hospital_Full_Time_Staff=2018
f0472018,2018,2018,Thoracic_Surgical_Total=2018
f0472218,2018,2018,Thoracic_Surgical_Patient_Care_Office_Based=2018
f0472418,2018,2018,Thoracic_Surgical_Patient_Care_Hospital_Full_Time_Staff=2018
f0472518,2018,2018,Urology_Total=2018
f0472718,2018,2018,Urology_Patient_Care_Office_Based=2018
f0472918,2018,2018,Urology_Patient_Care_Hospital_Full_Time_Staff=2018
f0473018,2018,2018,Other_Specialty_Total_Total=2018
f0473318,2018,2018,Other_Specialty_Total_Patient_Care_Hospital_Full_Time_Staff=2018
f0473418,2018,2018,Other_Specialty_Total_Administration=2018
f0473518,2018,2018,Other_Specialty_Total_Teaching=2018
f0473718,2018,2018,Other_Specialty_Total_Other=2018
f0473818,2018,2018,Aerospace_Medical_Medicine_Total=2018
f0474018,2018,2018,Aerospace_Medical_Medicine_Patient_Care_Office_Based=2018
f0474218,2018,2018,Aerospace_Medical_Medicine_Patient_Care_Hospital_Full_Time_Staff=2018
f0474318,2018,2018,Anesthesiolgy_Total=2018
f0474518,2018,2018,Anesthesiolgy_Patient_Care_Office_Based=2018
f0474718,2018,2018,Anesthesiolgy_Patient_Care_Hospital_Full_Time_Staff=2018
f0474818,2018,2018,Child_Psychiatric_Total=2018
f0475018,2018,2018,Child_Psychiatric_Patient_Care_Office_Based=2018
f0475218,2018,2018,Child_Psychiatric_Patient_Care_Hospital_Full_Time_Staff=2018
f0475318,2018,2018,Diagnostic_Radiology_Total=2018
f0475518,2018,2018,Diagnostic_Radiology_Patient_Care_Office_Based=2018
f0475718,2018,2018,Diagnostic_Radiology_Patient_Care_Hospital_Full_Time_Staff=2018
f0475818,2018,2018,Forensic_Pathology_Anatomic_Clinical_Total=2018
f0476018,2018,2018,Forensic_Pathology_Anatomic_Clinical_Patient_Care_Office_Based=2018
f0476218,2018,2018,Forensic_Pathology_Anatomic_Clinical_Patient_Care_Hospital_Full_Time_Staff=2018
f0476318,2018,2018,Neurology_Total=2018
f0476518,2018,2018,Neurology_Patient_Care_Office_Based=2018
f0476718,2018,2018,Neurology_Patient_Care_Hospital_Full_Time_Staff=2018
f0476818,2018,2018,Occupational_Medical_Medicine_Total=2018
f0477018,2018,2018,Occupational_Medical_Medicine_Patient_Care_Office_Based=2018
f0477218,2018,2018,Occupational_Medical_Medicine_Patient_Care_Hospital_Full_Time_Staff=2018
f0477318,2018,2018,Psychiatry_Total=2018
f0477518,2018,2018,Psychiatry_Patient_Care_Office_Based=2018
f0477718,2018,2018,Psychiatry_Patient_Care_Hospital_Full_Time_Staff=2018
f0477818,2018,2018,Pathology_Anatomic_Clinical_Anatomical_Clinic_Total=2018
f0478018,2018,2018,Pathology_Anatomic_Clinical_Anatomical_Clinic_Patient_Care_Office_Based=2018
f0478218,2018,2018,Pathology_Anatomic_Clinical_Anatomical_Clinic_Patient_Care_Hospital_Full_Time_Staff=2018
f0478318,2018,2018,Physician_Medical_Medicine_Rehabilitation_Total=2018
f0478518,2018,2018,Physician_Medical_Medicine_Rehabilitation_Patient_Care_Office_Base=2018
f0478718,2018,2018,Physician_Medical_Medicine_Rehabilitation_Patient_Care_Hospital_Full_Time_Staff=2018
f0478818,2018,2018,General_Prevention_Medical_Medicine_Total=2018
f0479018,2018,2018,General_Prevention_Medical_Medicine_Patient_Care_Office_Based=2018
f0479218,2018,2018,General_Prevention_Medical_Medicine_Patient_Care_Hospital_Full_Time_Staff=2018
f0479318,2018,2018,Public_Health_Total=2018
f0479518,2018,2018,Public_Health_Patient_Care_Office_Based=2018
f0479718,2018,2018,Public_Health_Patient_Care_Hospital_Full_Time_Staff=2018
f0480318,2018,2018,Radiation_Oncology_Total=2018
f0480518,2018,2018,Radiation_Oncology_Patient_Care_Office_Based=2018
f0480718,2018,2018,Radiation_Oncology_Patient_Care_Hospital_Full_Time_Staff=2018
f0481318,2018,2018,Unspecified_Total=2018
f0481518,2018,2018,Unspecified_Patient_Care_Office_Based=2018
f0481718,2018,2018,Unspecified_Patient_Care_Hospital_Full_Time_Staff=2018
f0481818,2018,2018,Medical_Doctors_Inactive_Total=2018
f0481918,2018,2018,Medical_Doctors_Not_Classified_Total=2018
f0482018,2018,2018,Total_M.D.'s_Male=2018
f0482118,2018,2018,Total_M.D.'s_Female=2018
f0490018,2018,2018,Medical_Doctors_Inactive_Male=2018
f0490118,2018,2018,Medical_Doctors_Inactive_Female=2018
f0490418,2018,2018,Total_M.D.'s_<_35=2018
f0490518,2018,2018,Total_M.D.'s_35_44=2018
f0490618,2018,2018,Total_M.D.'s_45_54=2018
f0490718,2018,2018,Total_M.D.'s_55_64=2018
f0491018,2018,2018,Medical_Doctors_Total_General_Practice_<_35=2018
f0491118,2018,2018,Medical_Doctors_Total_General_Practice_35_44=2018
f0491218,2018,2018,Medical_Doctors_Total_General_Practice_45_54=2018
f0491318,2018,2018,Medical_Doctors_Total_General_Practice_55_64=2018
f0491618,2018,2018,Medical_Specialty_Total_<_35=2018
f0491718,2018,2018,Medical_Specialty_Total_35_44=2018
f0491818,2018,2018,Medical_Specialty_Total_45_54=2018
f0491918,2018,2018,Medical_Specialty_Total_55_64=2018
f0492818,2018,2018,Cardiovascular_Diseases_<_35=2018
f0492918,2018,2018,Cardiovascular_Diseases_35_44=2018
f0493018,2018,2018,Cardiovascular_Diseases_45_54=2018
f0493118,2018,2018,Cardiovascular_Diseases_55_64=2018
f0493418,2018,2018,Dermatology_<_35=2018
f0493518,2018,2018,Dermatology_35_44=2018
f0493618,2018,2018,Dermatology_45_54=2018
f0493718,2018,2018,Dermatology_55_64=2018
f0494018,2018,2018,Gastroenterology_<_35=2018
f0494118,2018,2018,Gastroenterology_35_44=2018
f0494218,2018,2018,Gastroenterology_45_54=2018
f0494318,2018,2018,Gastroenterology_55_64=2018
f0496418,2018,2018,Pediatric_Cardiology_<_35=2018
f0496518,2018,2018,Pediatric_Cardiology_35_44=2018
f0496618,2018,2018,Pediatric_Cardiology_45_54=2018
f0496718,2018,2018,Pediatric_Cardiology_55_64=2018
f0497018,2018,2018,Pulmonary_Diseases_<_35=2018
f0497118,2018,2018,Pulmonary_Diseases_35_44=2018
f0497218,2018,2018,Pulmonary_Diseases_45_54=2018
f0497318,2018,2018,Pulmonary_Diseases_55_64=2018
f0497618,2018,2018,Surgical_Specialty_Total_<_35=2018
f0497718,2018,2018,Surgical_Specialty_Total_35_44=2018
f0497818,2018,2018,Surgical_Specialty_Total_45_54=2018
f0497918,2018,2018,Surgical_Specialty_Total_55_64=2018
f0498218,2018,2018,General_Surgery_<_35=2018
f0498318,2018,2018,General_Surgery_35_44=2018
f0498418,2018,2018,General_Surgery_45_54=2018
f0498518,2018,2018,General_Surgery_55_64=2018
f0498818,2018,2018,Neurological_Surgery_<_35=2018
f0498918,2018,2018,Neurological_Surgery_35_44=2018
f0499018,2018,2018,Neurological_Surgery_45_54=2018
f0499118,2018,2018,Neurological_Surgery_55_64=2018
f0500018,2018,2018,Ophthalmology_<_35=2018
f0500118,2018,2018,Ophthalmology_35_44=2018
f0500218,2018,2018,Ophthalmology_45_54=2018
f0500318,2018,2018,Ophthalmology_55_64=2018
f0500618,2018,2018,Orthopedic_Surgery_<_35=2018
f0500718,2018,2018,Orthopedic_Surgery_35_44=2018
f0500818,2018,2018,Orthopedic_Surgery_45_54=2018
f0500918,2018,2018,Orthopedic_Surgery_55_64=2018
f0501218,2018,2018,Otolaryngology_<_35=2018
f0501318,2018,2018,Otolaryngology_35_44=2018
f0501418,2018,2018,Otolaryngology_45_54=2018
f0501518,2018,2018,Otolaryngology_55_64=2018
f0501818,2018,2018,Plastic_Surgery_<_35=2018
f0501918,2018,2018,Plastic_Surgery_35_44=2018
f0502018,2018,2018,Plastic_Surgery_45_54=2018
f0502118,2018,2018,Plastic_Surgery_55_64=2018
f0502418,2018,2018,Colon_&_Rectal_Surgery_<_35=2018
f0502518,2018,2018,Colon_&_Rectal_Surgery_35_44=2018
f0502618,2018,2018,Colon_&_Rectal_Surgery_45_54=2018
f0502718,2018,2018,Colon_&_Rectal_Surgery_55_64=2018
f0503018,2018,2018,Thoracic_Surgery_<_35=2018
f0503118,2018,2018,Thoracic_Surgery_35_44=2018
f0503218,2018,2018,Thoracic_Surgery_45_54=2018
f0503318,2018,2018,Thoracic_Surgery_55_64=2018
f0503618,2018,2018,Urology_<_35=2018
f0503718,2018,2018,Urology_35_44=2018
f0503818,2018,2018,Urology_45_54=2018
f0503918,2018,2018,Urology_55_64=2018
f0504218,2018,2018,Other_Specialty_Total_<_35=2018
f0504318,2018,2018,Other_Specialty_Total_35_44=2018
f0504418,2018,2018,Other_Specialty_Total_45_54=2018
f0504518,2018,2018,Other_Specialty_Total_55_64=2018
f0504918,2018,2018,Aerospace_Medicine_35_44=2018
f0505018,2018,2018,Aerospace_Medicine_45_54=2018
f0505118,2018,2018,Aerospace_Medicine_55_64=2018
f0505418,2018,2018,Anesthesiology_<_35=2018
f0505518,2018,2018,Anesthesiology_35_44=2018
f0505618,2018,2018,Anesthesiology_45_54=2018
f0505718,2018,2018,Anesthesiology_55_64=2018
f0506018,2018,2018,Child_Psychiatry_<_35=2018
f0506118,2018,2018,Child_Psychiatry_35_44=2018
f0506218,2018,2018,Child_Psychiatry_45_54=2018
f0506318,2018,2018,Child_Psychiatry_55_64=2018
f0506618,2018,2018,Diagnostic_Radiology_<_35=2018
f0506718,2018,2018,Diagnostic_Radiology_35_44=2018
f0506818,2018,2018,Diagnostic_Radiology_45_54=2018
f0506918,2018,2018,Diagnostic_Radiology_55_64=2018
f0507218,2018,2018,Forensic_Pathology_<_35=2018
f0507318,2018,2018,Forensic_Pathology_35_44=2018
f0507418,2018,2018,Forensic_Pathology_45_54=2018
f0507518,2018,2018,Forensic_Pathology_55_64=2018
f0507818,2018,2018,Neurology_<_35=2018
f0507918,2018,2018,Neurology_35_44=2018
f0508018,2018,2018,Neurology_45_54=2018
f0508118,2018,2018,Neurology_55_64=2018
f0508418,2018,2018,Occupational_Medicine_<_35=2018
f0508518,2018,2018,Occupational_Medicine_35_44=2018
f0508618,2018,2018,Occupational_Medicine_45_54=2018
f0508718,2018,2018,Occupational_Medicine_55_64=2018
f0509018,2018,2018,Psychiatry_<_35=2018
f0509118,2018,2018,Psychiatry_35_44=2018
f0509218,2018,2018,Psychiatry_45_54=2018
f0509318,2018,2018,Psychiatry_55_64=2018
f0509618,2018,2018,Pathology_Anatomical_Clinic_<_35=2018
f0509718,2018,2018,Pathology_Anatomical_Clinic_35_44=2018
f0509818,2018,2018,Pathology_Anatomical_Clinic_45_54=2018
f0509918,2018,2018,Pathology_Anatomical_Clinic_55_64=2018
f0510218,2018,2018,Physical_Medical_Medicine_&_Rehabilitation_<_35=2018
f0510318,2018,2018,Physical_Medical_Medicine_&_Rehabilitation_35_44=2018
f0510418,2018,2018,Physical_Medical_Medicine_&_Rehabilitation_45_54=2018
f0510518,2018,2018,Physical_Medical_Medicine_&_Rehabilitation_55_64=2018
f0510818,2018,2018,General_Preventive_Medical_Medicine_<_35=2018
f0510918,2018,2018,General_Preventive_Medical_Medicine_35_44=2018
f0511018,2018,2018,General_Preventive_Medical_Medicine_45_54=2018
f0511118,2018,2018,General_Preventive_Medical_Medicine_55_64=2018
f0511518,2018,2018,Public_Health_35_44=2018
f0511618,2018,2018,Public_Health_45_54=2018
f0511718,2018,2018,Public_Health_55_64=2018
f0512618,2018,2018,Radiation_Oncology_<_35=2018
f0512718,2018,2018,Radiation_Oncology_35_44=2018
f0512818,2018,2018,Radiation_Oncology_45_54=2018
f0512918,2018,2018,Radiation_Oncology_55_64=2018
f0513818,2018,2018,Unspecified_<_35=2018
f0513918,2018,2018,Unspecified_35_44=2018
f0514018,2018,2018,Unspecified_45_54=2018
f0514118,2018,2018,Unspecified_55_64=2018
f0514418,2018,2018,Medical_Doctors_Inactive_<_35=2018
f0514518,2018,2018,Medical_Doctors_Inactive_35_44=2018
f0514618,2018,2018,Medical_Doctors_Inactive_45_54=2018
f0514718,2018,2018,Medical_Doctors_Inactive_55_64=2018
f0515018,2018,2018,Medical_Doctors_Not_Classified_<_35=2018
f0515118,2018,2018,Medical_Doctors_Not_Classified_35_44=2018
f0515218,2018,2018,Medical_Doctors_Not_Classified_45_54=2018
f0515318,2018,2018,Medical_Doctors_Not_Classified_55_64=2018
f0524110,2010,2010,Population_in_Occupied_Housing_Units=2010
f0524210,2010,2010,Population_in_Group_Quarters=2010
f0670410,2010,2010,Population_Male_<_5=2010
f0670510,2010,2010,Population_Female_<_5=2010
f0670610,2010,2010,Population_Male_5_9=2010
f0670710,2010,2010,Population_Female_5_9=2010
f0670810,2010,2010,Population_Male_10_14=2010
f0670910,2010,2010,Population_Female_10_14=2010
f0671010,2010,2010,Population_Male_15_19=2010
f0671110,2010,2010,Population_Female_15_19=2010
f0671210,2010,2010,Population_Male_20_24=2010
f0671310,2010,2010,Population_Female_20_24=2010
f0671410,2010,2010,Population_Male_25_29=2010
f0671510,2010,2010,Population_Female_25_29=2010
f0671610,2010,2010,Population_Male_30_34=2010
f0671710,2010,2010,Population_Female_30_34=2010
f0671810,2010,2010,Population_Male_35_44=2010
f0671910,2010,2010,Population_Female_35_44=2010
f0672010,2010,2010,Population_Male_45_54=2010
f0672110,2010,2010,Population_Female_45_54=2010
f0672210,2010,2010,Population_Male_55_59=2010
f0672310,2010,2010,Population_Female_55_59=2010
f0672410,2010,2010,Population_Male_60_64=2010
f0672510,2010,2010,Population_Female_60_64=2010
f0672610,2010,2010,Population_Male_65_74=2010
f0672710,2010,2010,Population_Female_65_74=2010
f0679219,2019,2019,Civilian_Labor_Force_16+=2019
f0679319,2019,2019,Number_Employed_16+=2019
f0679419,2019,2019,Number_Unemployed_16+=2019
f0851710,2010,2010,Population_White_Female_<_5=2010
f0852010,2010,2010,Population_White_Female_60_64=2010
f0852210,2010,2010,Population_White_Male_<_5=2010
f0852510,2010,2010,Population_White_Male_60_64=2010
f0852710,2010,2010,Population_Black_African_American_Female_<_5=2010
f0853010,2010,2010,Population_Black_African_American_Female_60_64=2010
f0853210,2010,2010,Population_Black_African_American_Male_<_5=2010
f0853510,2010,2010,Population_Black_African_American_Male_60_64=2010
f0873710,2010,2010,Number_Families=2010
f0873810,2010,2010,#_Households_with_1_Persons=2010
f0873910,2010,2010,#_Households_with_2_Persons=2010
f0874010,2010,2010,#_Households_with_3_Persons=2010
f0874110,2010,2010,#_Households_with_4_Persons=2010
f0874210,2010,2010,#_Households_with_5_Persons=2010
f0874310,2010,2010,#_Households_with_6_or_more_Person=2010
f0874410,2010,2010,Number_Families_with_Female_Head=2010
f0874510,2010,2010,Number_Households=2010
f0885718,2018,2018,Total_Active_M.D.s_Non_Federal=2018
f0886018,2018,2018,Medical_Doctors_Total_General_Practice_Patient_Care_Office_Based=2018
f0886118,2018,2018,Medical_Medicine_Specialty_Total_Patient_Care_Office_Based=2018
f0886218,2018,2018,Surgical_Specialty_Total_Patient_Care_Office_Based=2018
f0886318,2018,2018,Other_Specialty_Total_Patient_Care_Office_Based=2018
f0886818,2018,2018,Total_Number_Hospitals=2018
f0886918,2018,2018,#_Short_Term_General_Hospital=2018
f0887018,2018,2018,#_Short_Term_Non_General_Hospital=2018
f0887118,2018,2018,#_Long_Term_Hospitals=2018
f0887218,2018,2018,#_Short_Term_Community_Hospital=2018
f0887618,2018,2018,#_Veterans'_Hospitals=2018
f0887718,2018,2018,#_Hospital_with_Joint_Commission_on_Accreditation_of_Health_Care_Organizations_Accreditation=2018
f0887918,2018,2018,#_Hospital_with_Residency_Training=2018
f0888118,2018,2018,#_Hospital_with_Medical_School_Affiliation=2018
f0889018,2018,2018,#_Member_Council_Teaching_Hospital=2018
