fips,Alcohol-Induced_asmr_bl_17-19_ALL,Alcohol-Induced_asmr_bl_17-19_GE65,Alcohol-Induced_asmr_bl_17-19_LT65,Cancers_asmr_bl_17-19_ALL,Cancers_asmr_bl_17-19_GE65,Cancers_asmr_bl_17-19_LT65,Circulatory_asmr_bl_17-19_ALL,Circulatory_asmr_bl_17-19_GE65,Circulatory_asmr_bl_17-19_LT65,Digestive_asmr_bl_17-19_ALL,Digestive_asmr_bl_17-19_GE65,Digestive_asmr_bl_17-19_LT65,Drug_Poisoning_asmr_bl_17-19_ALL,Drug_Poisoning_asmr_bl_17-19_GE65,Drug_Poisoning_asmr_bl_17-19_LT65,Endocrine_Nutritional_and_Metabolic_asmr_bl_17-19_ALL,Endocrine_Nutritional_and_Metabolic_asmr_bl_17-19_GE65,Endocrine_Nutritional_and_Metabolic_asmr_bl_17-19_LT65,Homicides_asmr_bl_17-19_ALL,Homicides_asmr_bl_17-19_GE65,Homicides_asmr_bl_17-19_LT65,Other_external_asmr_bl_17-19_ALL,Other_external_asmr_bl_17-19_GE65,Other_external_asmr_bl_17-19_LT65,Other_natural_asmr_bl_17-19_ALL,Other_natural_asmr_bl_17-19_GE65,Other_natural_asmr_bl_17-19_LT65,Respiratory_asmr_bl_17-19_ALL,Respiratory_asmr_bl_17-19_GE65,Respiratory_asmr_bl_17-19_LT65,Suicide_asmr_bl_17-19_ALL,Suicide_asmr_bl_17-19_GE65,Suicide_asmr_bl_17-19_LT65,Transport_asmr_bl_17-19_ALL,Transport_asmr_bl_17-19_GE65,Transport_asmr_bl_17-19_LT65
01001,6.23,6.77,6.17,148.62,773.34,70.71,269.72,1279.11,143.85,25.51,115.59,14.28,9.84,3.41,10.64,58.56,224.5,37.86,7.61,0.0,8.56,13.29,58.61,7.64,161.05,619.48,103.88,115.26,618.5,52.5,16.66,22.56,15.93,18.14,32.22,16.38
01003,9.48,17.31,8.5,164.3,844.69,79.45,249.79,961.42,161.04,25.13,99.02,15.91,14.26,6.81,15.18,27.23,99.17,18.26,3.9,2.71,4.05,16.7,43.77,13.32,164.83,570.2,114.27,72.9,355.92,37.61,16.83,13.38,17.26,20.69,13.81,21.55
01005,4.06,0.0,4.56,193.79,940.97,100.61,384.59,1656.44,225.98,24.4,103.38,14.55,7.71,0.0,8.68,24.79,65.75,19.68,14.28,0.0,16.06,19.68,37.15,17.5,223.02,859.79,143.62,71.64,335.83,38.69,10.8,20.46,9.59,30.6,21.75,31.71
01007,7.55,0.0,8.49,190.08,1004.67,88.5,346.23,1501.92,202.11,35.4,162.37,19.57,23.5,0.0,26.43,37.69,116.17,27.91,10.5,0.0,11.8,25.15,24.18,25.27,184.04,874.47,97.94,110.84,525.12,59.18,16.05,0.0,18.05,25.67,0.0,28.87
01009,10.28,16.98,9.44,188.6,997.71,87.7,287.44,1176.03,176.63,24.87,103.43,15.07,23.23,3.79,25.65,28.2,94.34,19.96,7.41,0.0,8.34,15.89,53.24,11.23,194.82,683.3,133.91,142.25,742.34,67.41,19.03,16.64,19.33,33.85,29.36,34.41
01011,1.55,0.0,1.74,191.55,1076.76,81.16,335.87,1308.1,214.63,22.82,79.75,15.72,10.62,0.0,11.95,48.34,227.0,26.06,14.69,0.0,16.53,15.56,26.82,14.15,235.6,905.93,152.01,45.98,240.96,21.66,14.12,56.96,8.77,37.97,0.0,42.7
01013,3.56,15.61,2.05,170.69,997.72,67.55,326.58,1257.44,210.5,37.7,117.44,27.75,6.48,0.0,7.29,68.72,303.67,39.43,21.0,0.0,23.62,21.0,53.33,16.97,192.64,716.0,127.38,94.07,456.23,48.91,7.27,0.0,8.17,48.21,31.9,50.24
01015,5.98,6.7,5.89,186.2,975.34,87.79,382.59,1593.13,231.63,39.52,142.21,26.72,22.52,5.62,24.62,25.35,96.07,16.53,13.37,7.6,14.09,17.79,49.42,13.84,213.91,824.69,137.74,127.99,636.52,64.58,18.86,17.47,19.04,23.59,25.03,23.41
01017,5.48,5.99,5.42,178.53,946.0,82.83,278.26,1035.97,183.77,39.19,120.79,29.02,10.74,4.93,11.46,61.0,281.97,33.44,14.64,14.51,14.65,21.27,32.34,19.89,187.7,668.73,127.72,113.69,657.13,45.92,16.49,14.75,16.7,16.97,20.28,16.55
01019,8.42,5.32,8.81,173.66,933.91,78.85,274.19,1008.38,182.63,24.2,126.77,11.41,27.96,7.29,30.54,44.97,118.33,35.83,3.96,11.01,3.08,13.82,29.92,11.82,263.99,940.37,179.64,108.46,562.45,51.85,27.07,47.72,24.5,34.97,47.03,33.46
01021,12.76,4.63,13.77,169.65,913.59,76.87,329.97,1452.36,190.0,39.69,160.33,24.64,17.09,0.0,19.22,38.5,146.99,24.97,4.06,0.0,4.57,24.21,90.11,15.99,191.99,795.61,116.71,124.67,665.97,57.17,12.46,16.58,11.95,31.71,41.69,30.47
01023,0.0,0.0,0.0,152.9,732.78,80.59,376.37,1708.24,210.28,23.08,100.29,13.45,2.34,0.0,2.63,26.75,75.61,20.66,9.54,0.0,10.73,18.19,91.11,9.09,202.9,951.74,109.52,95.04,452.1,50.52,13.52,0.0,15.21,44.61,44.5,44.62
01025,3.63,0.0,4.08,200.01,1057.22,93.11,304.41,1326.27,176.97,13.28,65.05,6.83,19.12,0.0,21.5,41.96,142.48,29.42,6.6,0.0,7.42,20.41,65.65,14.76,221.0,769.66,152.58,82.16,377.24,45.36,19.42,0.0,21.84,36.89,22.56,38.67
01027,10.43,20.77,9.14,178.05,730.39,109.17,303.68,1070.69,208.03,32.42,107.13,23.11,14.5,13.47,14.63,13.8,50.16,9.27,4.74,0.0,5.33,12.63,56.1,7.21,177.1,624.04,121.37,92.86,497.94,42.35,23.9,11.57,25.44,42.6,26.49,44.61
01029,3.34,0.0,3.75,144.83,766.46,67.31,355.87,1431.97,221.67,20.04,79.68,12.6,7.9,0.0,8.88,16.24,107.8,4.82,8.77,0.0,9.86,25.37,143.61,10.62,205.74,853.61,124.94,124.03,691.22,53.3,17.33,37.37,14.83,49.11,33.16,51.1
01031,4.11,11.67,3.17,170.11,921.22,76.45,326.66,1302.02,205.02,30.23,103.17,21.14,10.62,4.53,11.38,22.76,117.14,10.99,6.91,4.46,7.22,20.13,49.07,16.52,200.81,767.36,130.16,90.59,501.59,39.34,9.9,17.49,8.95,18.75,16.09,19.09
01033,5.13,16.64,3.69,184.58,890.89,96.5,325.7,1382.08,193.96,29.58,121.16,18.16,10.97,3.76,11.87,24.62,112.14,13.71,7.36,3.19,7.88,15.14,24.21,14.0,195.72,764.01,124.85,120.75,638.86,56.14,21.2,10.75,22.51,32.71,25.22,33.65
