fips,Stabr,Area_name,STATE_NAME_COUNTY_NAME,Dy20,Dy21,Dy22,Dy23,Dyal,PHT_Dy20,PHT_Dy21,PHT_Dy22,PHT_Dy23
01001,AL,Autauga County,Alabama_Autauga,48,112,70,2,232,81.473309004498,189.17960238501428,117.20188862471956,3.3144410195220577
01003,AL,Baldwin County,Alabama_Baldwin,161,432,126,8,727,69.03145862185768,180.42173580744992,51.10919113620599,3.1557313999218954
01005,AL,Barbour County,Alabama_Barbour,32,49,22,0,103,128.15891705715086,199.73097460563324,89.06882591093117,0.0
01007,AL,Bibb County,Alabama_Bibb,46,49,13,1,109,207.31927167838472,219.1511248266917,59.128536341308106,4.572891896835559
01009,AL,Blount County,Alabama_Blount,63,135,62,1,261,106.5863603295718,228.5075915299853,104.17366758518718,1.6717935000668718
01011,AL,Bullock County,Alabama_Bullock,22,24,8,0,54,215.07478736924432,236.61638568470863,78.87212856156955,0.0
01013,AL,Butler County,Alabama_Butler,45,57,28,2,132,236.53088042049933,301.7469560614081,149.98928647953718,10.88020890001088
01015,AL,Calhoun County,Alabama_Calhoun,156,376,133,15,680,134.20162934542296,325.04019779041823,114.87303506650544,12.883388159307389
01017,AL,Chambers County,Alabama_Chambers,63,84,23,2,172,181.8129346916395,243.56297842727903,67.3223275963002,5.868716805070571
01019,AL,Cherokee County,Alabama_Cherokee,22,43,24,0,89,88.10925547679122,171.4923825476589,94.66335344929594,0.0
01021,AL,Chilton County,Alabama_Chilton,54,119,43,3,219,119.8481922897663,262.9311297200557,93.78816960390856,6.461200491051238
01023,AL,Choctaw County,Alabama_Choctaw,22,8,9,0,39,174.24362426738475,63.75518010838381,72.39964604617488,0.0
01025,AL,Clarke County,Alabama_Clarke,25,63,19,0,107,108.75712359159525,277.0448548812665,84.16762647293346,0.0
01027,AL,Clay County,Alabama_Clay,34,35,21,3,93,239.2344497607656,247.00070571630204,148.0645843615596,21.260009921337964
01029,AL,Cleburne County,Alabama_Cleburne,16,44,11,1,72,106.21348911311736,290.3140670361573,71.55867811605516,6.394270733422853
01031,AL,Coffee County,Alabama_Coffee,38,157,48,2,245,70.96304319408392,289.6732412037122,87.527352297593,3.594342504897292
01033,AL,Colbert County,Alabama_Colbert,60,154,61,4,279,104.70473265391595,267.15703282214974,105.18510854758333,6.853892154006957
01035,AL,Conecuh County,Alabama_Conecuh,17,45,13,1,76,147.13519127574867,397.52650176678446,115.8232359230221,8.949346697691068
01037,AL,Coosa County,Alabama_Coosa,7,41,14,2,64,67.73101112723754,397.5179367849525,135.8300184340739,19.477989871445267
01039,AL,Covington County,Alabama_Covington,40,160,56,5,261,106.64960273022984,425.8717061485228,148.9242879557482,13.174536256323778
01041,AL,Crenshaw County,Alabama_Crenshaw,36,43,29,2,110,273.4938843728633,329.0228785676028,222.25628448804412,15.266010228226852
01043,AL,Cullman County,Alabama_Cullman,78,232,81,7,398,88.49959154034674,258.8159171789065,89.34184838357433,7.607372630846809
01045,AL,Dale County,Alabama_Dale,63,131,51,0,245,127.90060295998538,265.2090292539731,103.04071118294776,0.0
01047,AL,Dallas County,Alabama_Dallas,43,169,44,3,259,112.65096539257551,450.4864720778355,119.79634621144056,8.29531314807134
01049,AL,DeKalb County,Alabama_DeKalb,61,217,66,1,345,85.1253855063565,301.7577038602737,91.56238728115204,1.3779988700409265
01051,AL,Elmore County,Alabama_Elmore,83,214,63,2,362,94.46739736629448,241.0208471770152,70.3125,2.211386428721487
01053,AL,Escambia County,Alabama_Escambia,34,114,30,1,179,92.68093226114216,310.9656301145663,81.88666885031117,2.7353793971223808
01055,AL,Etowah County,Alabama_Etowah,94,433,159,6,692,90.86251727837762,420.3475390738763,154.51444564298416,5.811644598560649
01057,AL,Fayette County,Alabama_Fayette,19,67,12,2,100,116.34315106239669,415.4523469957215,74.6175848775028,12.52583453372581
01059,AL,Franklin County,Alabama_Franklin,37,74,38,5,154,115.34384936716754,231.2644540283768,119.08492635537448,15.722281617508331
