metric,asedx_p_2017,LP_asedx_p_2017,asedx_p_2017_GE65,LP_asedx_p_2017_GE65,asedx_p_2017_LT65,LP_asedx_p_2017_LT65,asedx_p_2018,LP_asedx_p_2018,asedx_p_2018_GE65,LP_asedx_p_2018_GE65,asedx_p_2018_LT65,LP_asedx_p_2018_LT65,asedx_p_2019,LP_asedx_p_2019,asedx_p_2019_GE65,LP_asedx_p_2019_GE65,asedx_p_2019_LT65,LP_asedx_p_2019_LT65,asedx_p_2020,LP_asedx_p_2020,asedx_p_2020-2023,LP_asedx_p_2020-2023,asedx_p_2020-2023_GE65,LP_asedx_p_2020-2023_GE65,asedx_p_2020-2023_LT65,LP_asedx_p_2020-2023_LT65,asedx_p_2020_GE65,LP_asedx_p_2020_GE65,asedx_p_2020_LT65,LP_asedx_p_2020_LT65,asedx_p_2021,LP_asedx_p_2021,asedx_p_2021_GE65,LP_asedx_p_2021_GE65,asedx_p_2021_LT65,LP_asedx_p_2021_LT65,asedx_p_2022,LP_asedx_p_2022,asedx_p_2022_GE65,LP_asedx_p_2022_GE65,asedx_p_2022_LT65,LP_asedx_p_2022_LT65,asedx_p_2023,LP_asedx_p_2023,asedx_p_2023_GE65,LP_asedx_p_2023_GE65,asedx_p_2023_LT65,LP_asedx_p_2023_LT65,asedx_p_2024,LP_asedx_p_2024,asedx_p_2024_GE65,LP_asedx_p_2024_GE65,asedx_p_2024_LT65,LP_asedx_p_2024_LT65,Sum_|LP|_LP<=-5.0
f1448114,-0.01631,-0.105,-0.048686,-0.382,0.045507,-0.351,0.007085,-0.043,0.000647,-0.004,0.00498,-0.03,0.024288,-0.165,0.060998,-0.513,-0.049155,-0.387,-0.465837,-15.917,-0.415994,-12.538,-0.343805,-8.542,-0.391713,-11.083,-0.421541,-12.887,-0.454163,-15.075,-0.488689,-17.66,-0.404314,-11.824,-0.456265,-15.224,-0.274999,-5.575,-0.226979,-3.93,-0.205641,-3.301,-0.150501,-1.948,-0.091487,-0.904,-0.162346,-2.207,-0.110276,-1.194,-0.079345,-0.737,-0.131639,-1.571,126.325
f1448014,0.01629,-0.105,0.048672,-0.382,-0.045515,-0.351,-0.007083,-0.043,-0.000646,-0.004,-0.004985,-0.03,-0.02427,-0.165,-0.060985,-0.513,0.049168,-0.387,0.465832,-15.916,0.415997,-12.538,0.343814,-8.543,0.391697,-11.082,0.421543,-12.887,0.45414,-15.073,0.488681,-17.659,0.404314,-11.824,0.456242,-15.223,0.275011,-5.576,0.226993,-3.93,0.205641,-3.301,0.150509,-1.949,0.091496,-0.904,0.162344,-2.207,0.110287,-1.194,0.079359,-0.737,0.13163,-1.571,126.321
f1539214,0.082936,-0.785,0.049329,-0.389,0.078292,-0.723,0.016987,-0.11,0.022839,-0.154,-0.010385,-0.065,-0.054073,-0.438,-0.029672,-0.208,-0.056446,-0.463,-0.056727,-0.466,-0.390531,-11.016,-0.40382,-11.794,-0.207546,-3.355,-0.06505,-0.56,-0.02915,-0.204,-0.525806,-20.785,-0.503451,-18.858,-0.389736,-10.97,-0.352841,-8.99,-0.350988,-8.897,-0.159836,-2.151,-0.278008,-5.69,-0.301318,-6.621,-0.057744,-0.477,-0.345995,-8.649,-0.373725,-10.08,-0.120862,-1.374,122.35
f1445214,0.079693,-0.741,0.048146,-0.377,0.073121,-0.657,0.01704,-0.11,0.019596,-0.129,-0.005017,-0.03,-0.050679,-0.403,-0.025297,-0.173,-0.056316,-0.462,-0.101403,-1.052,-0.40259,-11.72,-0.414416,-12.44,-0.218741,-3.68,-0.110647,-1.2,-0.060006,-0.502,-0.526763,-20.871,-0.503863,-18.892,-0.391153,-11.051,-0.354516,-9.074,-0.350841,-8.889,-0.164425,-2.254,-0.270954,-5.424,-0.291776,-6.23,-0.060362,-0.506,-0.33544,-8.14,-0.36229,-9.473,-0.118498,-1.333,122.204
f1448314,0.005298,-0.032,0.031133,-0.22,-0.037933,-0.28,-0.001143,-0.007,0.000136,-0.001,0.003917,-0.023,-0.019999,-0.132,-0.044718,-0.343,0.031818,-0.226,0.392635,-11.136,0.410933,-12.225,0.36847,-9.798,0.329085,-7.843,0.361881,-9.452,0.365818,-9.658,0.518285,-20.121,0.453826,-15.051,0.447142,-14.584,0.286098,-6.004,0.264609,-5.191,0.164304,-2.251,0.164171,-2.248,0.138785,-1.709,0.103574,-1.086,0.135927,-1.653,0.128319,-1.509,0.093879,-0.939,121.063
f1449214,-0.005314,-0.032,-0.03115,-0.221,0.037935,-0.28,0.001178,-0.007,-9.9e-05,-0.001,-0.003915,-0.023,0.019987,-0.132,0.044705,-0.343,-0.031821,-0.226,-0.392619,-11.136,-0.410926,-12.225,-0.368464,-9.798,-0.329083,-7.843,-0.361867,-9.451,-0.365811,-9.657,-0.518274,-20.12,-0.453823,-15.051,-0.447122,-14.583,-0.286102,-6.004,-0.264605,-5.191,-0.164324,-2.252,-0.164166,-2.248,-0.138777,-1.709,-0.103578,-1.086,-0.135929,-1.653,-0.128323,-1.509,-0.09388,-0.939,121.059
f1443214,-0.037598,-0.277,-0.002087,-0.012,-0.06418,-0.55,0.002502,-0.015,0.022103,-0.148,-0.022082,-0.148,0.015236,-0.098,-0.037811,-0.279,0.083994,-0.799,0.41988,-12.782,0.427727,-13.284,0.33712,-8.22,0.408189,-12.058,0.388569,-10.904,0.385351,-10.721,0.478496,-16.866,0.378468,-10.339,0.442581,-14.271,0.293168,-6.286,0.202293,-3.208,0.265376,-5.219,0.185662,-2.767,0.08795,-0.854,0.223079,-3.81,0.182204,-2.679,0.140856,-1.75,0.175984,-2.526,120.95
f1445014,0.026295,-0.181,0.058182,-0.482,-0.042045,-0.318,-0.012997,-0.082,-0.005855,-0.035,-0.008942,-0.055,-0.030464,-0.215,-0.066886,-0.581,0.048236,-0.378,0.452417,-14.952,0.395549,-11.305,0.323596,-7.591,0.385182,-10.712,0.407388,-12.009,0.448349,-14.668,0.468513,-16.114,0.388929,-10.924,0.444815,-14.424,0.259812,-5.019,0.21144,-3.466,0.203898,-3.252,0.135687,-1.649,0.075938,-0.693,0.162063,-2.201,0.092562,-0.919,0.060879,-0.512,0.125954,-1.466,117.718
f1440214,-0.030251,-0.213,0.007884,-0.048,-0.067256,-0.586,-0.007527,-0.046,0.014653,-0.094,-0.028838,-0.201,0.014378,-0.092,-0.041989,-0.317,0.091591,-0.905,0.361154,-9.414,0.431586,-13.536,0.345592,-8.629,0.413316,-12.372,0.331506,-7.955,0.341082,-8.41,0.487976,-17.604,0.394054,-11.219,0.456492,-15.24,0.315223,-7.217,0.22788,-3.957,0.282588,-5.866,0.21899,-3.687,0.126438,-1.475,0.238261,-4.287,0.216318,-3.608,0.173058,-2.456,0.201802,-3.194,117.462
f1443014,-0.039631,-0.295,-0.008944,-0.055,-0.058049,-0.481,0.005593,-0.034,0.023551,-0.159,-0.015395,-0.099,0.017113,-0.111,-0.0301,-0.212,0.072495,-0.649,0.389374,-10.949,0.436757,-13.879,0.353771,-9.037,0.388636,-10.907,0.359402,-9.324,0.357008,-9.201,0.504207,-18.921,0.402753,-11.73,0.451421,-14.882,0.309088,-6.951,0.226316,-3.909,0.249239,-4.652,0.204348,-3.265,0.11861,-1.335,0.200396,-3.156,0.203264,-3.235,0.171846,-2.427,0.161161,-2.18,115.781
