metric,Ward100
f1448114,23
f1448014,23
f1539214,95
f1445214,95
f1448314,23
f1449214,23
f1443214,22
f1445014,23
f1440214,22
f1443014,22
f1448214,95
f1539014,23
f1441914,22
f1440714,22
f1450114,95
f1440814,22
f1443314,22
f1332118,22
f1434414,95
f1445114,82
f1447914,23
f1440014,23
f1538414,95
f1332218,22
f1332318,22
f1434614,95
f1542114,22
f1451414,23
f1440314,23
f1458414,95
f1539114,82
f1447114,23
f1440414,23
f1442014,94
f1451114,23
f1457214,23
f1451314,23
f1457014,23
f1440514,23
f1457314,23
f1457114,23
f1451014,23
f1541414,23
f1435214,23
f1478310,21
f1461214,23
f1540814,1
f1434514,95
f1445314,23
f1542214,22
f1540014,23
f1459114,88
f0490118,4
f1477510,21
f1486910,87
f1450914,95
f1538114,95
f1322618,95
f1476310,21
f1477110,21
f1476710,21
f1477910,21
f0978118,3
f1539914,23
f1541214,95
f1440114,22
f1541814,22
f1317318,1
f1442714,81
f1475110,21
f1541914,22
f1484610,88
f1475510,21
f1487410,87
ALAND_PCT_URB,34
ALAND_PCT_RUR,34
f1456514,98
f1456814,98
f1475910,21
f1456414,98
f1447014,98
f1456714,98
f1540914,95
f1537914,95
f1461414,95
f1317118,1
f1050618,1
f1540214,23
f1156810,80
f1120918,4
f1344510,98
f1344410,98
f1437914,80
f1344310,98
f1446014,81
f1156610,80
f1157010,80
f1439114,81
f1439014,81
f1186618,4
f1344210,98
f1463910,98
f0886118,4
f1160810,81
f1463610,98
f1456014,81
f1437814,80
f1450714,95
f1483814,81
f1485610,98
f1156710,80
f1485510,98
f1442514,80
f1397515,23
f1554418,14
f1156410,80
f1317418,1
f1433514,81
f1441814,98
f1433614,81
f1444914,98
f1437714,80
f1456314,81
f1344710,98
f1549218,14
f1392618,98
f1554318,14
f1392218,81
f1165310,80
f1447614,80
f1156510,80
f1157710,81
f1158910,81
f0453610,81
f1488710,81
f0454210,81
f1463810,81
f1392718,98
f1157810,81
f1322518,14
f1159110,81
f1463510,81
f1158010,81
f1156910,80
f1158210,81
f1458914,88
f1530218,89
f1398218,88
f1166610,81
f1529218,29
f1398118,88
f1157910,81
f1492210,93
f1109318,4
f1344610,98
f1158110,81
f1446714,80
f1441714,81
f0491818,4
f1120818,4
f1467518,4
f1452014,98
f1158710,81
f1157510,81
f1157610,81
f1392118,81
f1359210,85
f1552618,21
f1392018,81
POPDEN_URB,88
f1356110,87
f1387610,88
f1439214,81
f1552218,21
f1444614,80
POPDEN_COU,88
f1347310,80
f1317518,1
f1541314,1
f1438914,81
f1488810,98
f1158310,81
f1157410,81
f1157310,81
f1156210,80
f1157210,81
f1157110,81
f1460314,86
f1158510,81
f1438014,80
f1156310,80
f1553518,14
f1318318,1
f1446214,98
f1525210,83
f1529718,89
f0478518,4
f1358710,81
f1440614,23
f1529318,89
f0679519,23
f1343310,98
f1392318,81
f1489719,1
f1343210,98
f1322418,14
f1145810,98
f1553618,14
f1454814,80
f1553918,14
f1554018,14
f1441514,80
f1166510,80
f1455114,80
f1540714,95
f1492310,93
f1343110,98
f1359010,88
f1160310,97
f1158410,81
f1343010,98
f1454914,80
f1444814,81
f1165210,80
f1445814,80
f1451714,98
f1455014,80
f1467718,4
f1485710,98
f1488510,80
f1548318,14
f1451914,98
f1454614,80
f1156110,80
f1433814,81
f1529118,34
f1529018,34
f1553018,21
f1170618,4
f1159010,81
f1550218,21
f1359419,91
f1159210,81
f1451614,98
f1549118,14
f1488010,98
f1438114,80
f1548418,14
f1454714,80
f0972610,83
f1167310,83
f1344910,83
f1392418,81
f1549818,21
f1392518,81
f1538714,91
f0874610,97
f1156010,80
f1145710,98
f1158810,81
f1540514,91
f1346310,98
f0453510,80
f0454110,80
f1347010,81
f1356010,87
f0874310,84
f1343410,98
f1439914,98
f1547818,21
f1538514,91
f1540314,91
f0490618,4
f1548718,14
f1550618,21
f1459414,1
f1547418,21
f1155810,80
f1158610,81
f1540414,91
f1548818,14
f1159410,81
f1344110,98
f1343510,98
f1548218,21
f1344810,83
f0491918,4
f1346810,80
f1551118,14
f1159310,81
f1551218,14
f1478710,21
f1444114,98
f1203418,4
f0482118,5
f1435114,98
f1456114,81
f1541514,98
f1455814,81
f1550918,14
f0481818,4
f1170518,4
f1322318,14
f0873910,84
f1170418,4
f1456214,81
f1139619,91
f1550718,14
f1155610,80
f1455914,81
f1155410,80
f1449114,95
f1450014,95
f1540114,98
f1166110,98
f1542514,22
f0453710,98
f1446914,81
f0453110,98
f1160410,98
f1439314,81
f1387710,88
f1435014,94
HOUDEN_COU,88
f1155310,80
f1538814,91
f1155110,80
f1155210,80
f1351410,84
f1547015,22
HOUDEN_URB,88
f1155910,80
f1131918,1
f1468818,4
f1468418,4
f1439814,94
f1438214,80
f1350910,85
f1317218,1
f0460318,4
f1154910,80
f1551518,14
f0478318,4
f1491810,93
f1335710,96
f0504418,4
f1441014,98
f1145510,98
f1155510,80
f1155010,80
f1487110,85
f1145910,98
f04440,34
f1146010,98
f1155710,80
f1350410,85
f1484710,80
f1344010,98
f1154710,80
f1154810,80
f1434114,95
f1350610,85
f0679319,14
f1434314,98
f1154610,80
f1159510,81
f1154510,80
f1342910,98
f1342810,98
f1484310,88
f0852510,83
f1458814,95
f0886318,4
f1187718,4
f1460114,95
f1107818,5
f1186518,4
f0874410,97
f1548518,14
f0461818,5
f1249014,22
f1539714,91
f1317618,1
f1451214,98
f1550818,14
f1211818,4
f1541614,23
f1461314,95
f1350510,85
f1476910,14
f1145610,98
f1551618,14
f1159610,81
f0490718,4
f1529818,89
f1460214,86
f1165410,81
f1533414,22
POPPCT_RUR,93
POPPCT_URB,93
f1201618,4
HOUPCT_URB,93
HOUPCT_RUR,93
f0852010,83
f1186718,4
f1343810,98
f1492110,93
f1491710,93
f1491610,93
f1551318,14
f1492010,93
f1335610,96
f1539514,91
f1168418,4
f1118718,4
f1168518,4
f1539414,91
f1548918,14
f1458214,29
f0851600,93
f1434814,94
f1433714,81
f1537614,95
f1539314,91
f0490018,4
f1465019,1
f0460918,4
f1121118,4
f1345010,83
f1204418,4
f1447414,96
f04439,34
f1334510,96
f1211918,4
f1450814,26
f1368000,93
f1345110,83
f1334710,96
f1460414,86
f1553418,21
f1437014,96
f1464719,34
f1528918,95
f1187618,4
f1456614,94
f1530718,89
f1212818,5
f0497818,4
f0460218,5
f1201718,4
f1442914,22
f1165510,81
f1551818,21
HOUDEN_RUR,34
f1451514,98
f1076118,4
f0672110,82
f0463818,4
f1116618,4
f1357110,87
f0982618,4
f0874210,84
POPDEN_RUR,34
f0505618,4
f1144710,98
f1434914,94
f1335510,96
f0886218,4
f1076018,4
f1549418,21
f1350710,85
f1144810,98
f1168618,4
f1478610,14
f0982818,4
f0474518,4
f0679219,14
f1439414,81
f1443414,83
f0504518,4
f1367900,93
f1434014,95
f1343910,98
f1188518,4
f1149010,97
f1390818,98
f1131818,1
f1486810,85
f1487810,79
f0460618,3
f1475810,14
f1451814,94
f1204818,4
f1208018,4
f1489619,1
f0473318,5
f1550418,14
f1491319,1
f1477010,14
f0983018,4
f1345510,83
f1468118,5
f1476110,14
f0509318,3
f1491519,34
f1121518,5
f1468518,5
f1464819,23
f0469718,4
f0460518,5
f0462118,5
f1116018,3
