metric,signed,sc_id,sc_name
f1477910,0.50822,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1552618,0.477474,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1476710,0.505099,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1550218,0.47023,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1475910,0.514698,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1475510,0.487888,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1547818,0.454431,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1478310,0.534397,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1553018,0.472632,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1477110,0.528846,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1550618,0.453532,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1476310,0.520394,5,"Poverty, Insurance Coverage and Public Programs"
f1549818,0.464247,5,"Poverty, Insurance Coverage and Public Programs"
f1477510,0.524661,5,"Poverty, Insurance Coverage and Public Programs"
f1552218,0.47753,5,"Poverty, Insurance Coverage and Public Programs"
f1475110,0.503821,5,"Poverty, Insurance Coverage and Public Programs"
f1547418,0.450526,5,"Poverty, Insurance Coverage and Public Programs"
f1449214,-0.518274,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1445314,0.473012,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1448314,0.518285,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1447114,-0.524036,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1450114,-0.470909,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1447914,-0.542934,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1445114,-0.468226,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1448114,-0.488689,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1448014,0.488681,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1445014,0.468513,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1445214,-0.526763,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1448214,-0.506313,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1539014,0.462851,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1539114,-0.524769,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1539214,-0.525806,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1457214,-0.483146,8,Commuting and Industry Employment
f1458914,-0.454045,8,Commuting and Industry Employment
f1459114,0.477978,8,Commuting and Industry Employment
f1461214,-0.475552,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1457014,0.484284,8,Commuting and Industry Employment
f1457114,0.496515,8,Commuting and Industry Employment
f1451114,-0.483146,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1451414,-0.513023,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1451314,-0.481679,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1451014,-0.462491,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1440014,-0.533748,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1437814,0.485736,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1437914,0.483586,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1439014,0.462166,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1437714,0.481578,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1435214,-0.51011,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1438914,0.460348,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1434414,-0.521877,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1440814,0.459948,5,"Poverty, Insurance Coverage and Public Programs"
f1441914,0.46305,5,"Poverty, Insurance Coverage and Public Programs"
f1443214,0.478496,5,"Poverty, Insurance Coverage and Public Programs"
f1443314,0.480462,5,"Poverty, Insurance Coverage and Public Programs"
f1332118,0.460092,5,"Poverty, Insurance Coverage and Public Programs"
f1332218,0.476545,5,"Poverty, Insurance Coverage and Public Programs"
f1443014,0.504207,5,"Poverty, Insurance Coverage and Public Programs"
f1332318,0.467294,5,"Poverty, Insurance Coverage and Public Programs"
f1442514,0.462689,5,"Poverty, Insurance Coverage and Public Programs"
f1322618,-0.4551,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1434514,-0.455056,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1440514,0.509429,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1440314,0.501509,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1440414,0.514681,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1440214,0.487976,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1440714,-0.514888,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1434614,-0.511914,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1484610,0.452791,1,"Race, Ethnicity and Population by Age"
f1398118,0.475338,1,"Race, Ethnicity and Population by Age"
f1398218,0.476117,1,"Race, Ethnicity and Population by Age"
f1486910,0.495441,1,"Race, Ethnicity and Population by Age"
f1538414,0.489797,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1540514,-0.451235,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1538714,-0.452671,3,"Socioeconomic, Insurance and Demographic Characteristics"
f1530218,0.498299,5,"Poverty, Insurance Coverage and Public Programs"
f1529718,0.478624,5,"Poverty, Insurance Coverage and Public Programs"
f1529318,0.48048,5,"Poverty, Insurance Coverage and Public Programs"
