state,counties,population_m,excess_2020_21,mean_advantage
MS,82.0,3.0,0.2565,-0.364
TX,254.0,28.9,0.2515,-0.42
AZ,15.0,7.1,0.2453,-0.007
NM,33.0,2.1,0.2447,-0.349
LA,64.0,4.7,0.2421,-0.161
NY,62.0,20.2,0.2414,-0.103
CT,8.0,3.6,0.2373,0.616
GA,159.0,10.6,0.2181,-0.096
SC,46.0,5.1,0.2181,0.039
AL,67.0,5.0,0.2181,-0.024
AK,27.0,0.7,0.2115,0.406
DC,1.0,0.7,0.2105,0.773
TN,95.0,6.9,0.2097,0.105
WY,23.0,0.6,0.2095,0.482
CA,58.0,39.5,0.2087,-0.047
OK,77.0,3.9,0.2076,-0.164
NJ,21.0,9.3,0.203,0.285
MI,83.0,10.1,0.1947,0.394
OH,88.0,11.8,0.1859,0.421
CO,64.0,5.7,0.1842,0.658
WV,55.0,1.8,0.183,-0.012
NV,17.0,3.1,0.1805,-0.144
IN,92.0,6.8,0.1793,0.272
AR,75.0,3.0,0.1789,-0.094
IL,102.0,12.8,0.177,0.357
SD,65.0,0.9,0.1744,0.595
NC,100.0,10.4,0.1743,0.072
MT,56.0,1.1,0.1739,0.453
KY,120.0,4.5,0.1725,0.094
PA,67.0,13.0,0.171,0.501
MO,115.0,6.1,0.1694,0.314
WI,72.0,5.9,0.1648,0.745
KS,105.0,2.9,0.1645,0.47
VA,133.0,8.6,0.1613,0.627
ND,53.0,0.8,0.1612,0.848
FL,67.0,21.4,0.16,-0.249
UT,29.0,3.2,0.1591,0.434
ID,44.0,1.8,0.1569,0.14
IA,99.0,3.2,0.1559,0.772
DE,3.0,1.0,0.1514,0.56
RI,5.0,1.1,0.1473,0.401
OR,36.0,4.2,0.1436,0.38
MA,14.0,7.0,0.1417,0.904
MD,24.0,6.2,0.1407,0.72
MN,87.0,5.7,0.1396,0.945
NE,93.0,2.0,0.135,0.629
WA,39.0,7.6,0.1196,0.609
VT,14.0,0.6,0.0965,0.964
ME,16.0,1.4,0.0928,0.671
NH,10.0,1.4,0.072,1.012
HI,5.0,1.5,0.038,0.831
