metric,description,classification
ALAND_COU,2020 land area of the County (square meters),LAND
ALAND_Mi2_COU,2020 land area of the County (square miles),LAND
ALAND_Mi2_RUR,2020 Rural land area of the County (square miles),LAND
ALAND_Mi2_URB,2020 Urban land area of the County (square miles),LAND
ALAND_PCT_RUR,Percent of 2020 land within the County that is classified as Rural,INTENSIVE
ALAND_PCT_URB,Percent of 2020 land within the County that is classified as Urban,INTENSIVE
ALAND_RUR,2020 Rural land area of the County (square meters),LAND
ALAND_URB,2020 Urban land area of the County (square meters),LAND
AREA_SQMI,Tract_area_in_square_miles,LAND
HOUDEN_COU,2020 housing unit density of the County (square miles),INTENSIVE
HOUDEN_RUR,2020 Rural housing unit density of the County (square miles),INTENSIVE
HOUDEN_URB,2020 Urban housing unit density of the County (square miles),INTENSIVE
HOUPCT_RUR,Percent of the 2020 housing units in the County within Rural blocks,INTENSIVE
HOUPCT_URB,Percent of 2020 Census housing units in the County within Urban blocks,INTENSIVE
HOU_COU,2020 Census total housing unit count of the County,EXTENSIVE
HOU_RUR,2020 Census housing units in the County within Rural blocks,EXTENSIVE
HOU_URB,2020 Census housing units in the County within Urban blocks,EXTENSIVE
POPDEN_COU,2020 population density of the County (square miles),INTENSIVE
POPDEN_RUR,2020 Rural population density of the County (square miles),INTENSIVE
POPDEN_URB,2020 Urban population density of the County (square miles),INTENSIVE
POPPCT_RUR,Percent of the 2020 Census population in the County within Rural blocks,INTENSIVE
POPPCT_URB,Percent of the 2020 Census population of the County within Urban blocks,INTENSIVE
POP_COU,2020 Census total population of the County,EXTENSIVE
POP_RUR,2020 Census population of the County within Rural blocks,EXTENSIVE
POP_URB,2020 Census population of the County within Urban blocks,EXTENSIVE
RURALBLOCKS,2020 blocks classified as Rural within County,EXTENSIVE
Rural-urban_Continuum_Code_2003,Rural-Urban Continuum Code+2003,INTENSIVE
Rural-urban_Continuum_Code_2013,Rural-Urban Continuum Code+2013,INTENSIVE
ST,,META
TOTALBLOCKS,2020 total blocks within the County,EXTENSIVE
URBANBLOCKS,2020 blocks classified as Urban within County,EXTENSIVE
Urban_Influence_Code_2003,Urban Influence Code+2003,INTENSIVE
Urban_Influence_Code_2013,Urban Influence Code+2013,INTENSIVE
f00004,Secondary_Entity_Of_File=NA,META
f00011,Federal_Information_Processing_Standards_State_Code=NA,META
f00012,Federal_Information_Processing_Standards_County_Code=NA,META
f0002013,Rural_Urban_Continuum_Code=2013,INTENSIVE
f00023,Federal_Region_Code=NA,META
f0081176,Elevation_Feet=1976,INTENSIVE
f0355304,Bureau_of_Economic_Analysis_Economic_Area_Code=2004,META
f04101,Contiguous_County_#_1=NA,META
f04102,Contiguous_County_#_2=NA,META
f04103,Contiguous_County_#_3=NA,META
f04104,Contiguous_County_#_4=NA,META
f04105,Contiguous_County_#_5=NA,META
f04106,Contiguous_County_#_6=NA,META
f04107,Contiguous_County_#_7=NA,META
f04108,Contiguous_County_#_8=NA,META
f04109,Contiguous_County_#_9=NA,META
f04110,Contiguous_County_#_10=NA,META
f04111,Contiguous_County_#_11=NA,META
f04112,Contiguous_County_#_12=NA,META
f04113,Contiguous_County_#_13=NA,META
f04439,Census_Region_Code=NA,INTENSIVE
f04440,Census_Division_Code=NA,INTENSIVE
f0453010,Census_Population=2010,EXTENSIVE
f0453110,White_Population=2010,EXTENSIVE
f0453210,Black_African_American_Population=2010,EXTENSIVE
f0453310,American_Indian_Alaska_Native_Population=2010,EXTENSIVE
f0453510,Some_Other_Race_Population=2010,EXTENSIVE
f0453610,Hispanic_Latino_Population=2010,EXTENSIVE
f0453710,Percent_White_Population=2010,INTENSIVE
f0453810,Percent_Black_African_American_Population=2010,INTENSIVE
f0453910,Percent_American_Indian_Alaska_Native_Population=2010,INTENSIVE
f0454110,Percent_Some_Other_Population=2010,INTENSIVE
f0454210,Percent_Hispanic_Latino_Population=2010,INTENSIVE
f0460218,Total_M.D.'s_Total_Non_Federal=2018,EXTENSIVE
f0460318,M.D.'s_Patient_Care_Office_Based_Non_Federal=2018,EXTENSIVE
f0460518,M.D.'s_Total_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f0460618,M.D.'s_Total_Administration=2018,EXTENSIVE
f0460718,M.D.'s_Total_Teaching=2018,EXTENSIVE
f0460918,M.D.'s_Total_Other=2018,EXTENSIVE
f0461018,Medical_Doctors_Total_General_Practice_Total=2018,EXTENSIVE
f0461318,Medical_Doctors_Total_General_Practice_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f0461418,Medical_Doctors_Total_General_Practice_Administration=2018,EXTENSIVE
f0461518,Medical_Doctors_Total_General_Practice_Teaching=2018,EXTENSIVE
f0461718,Medical_Doctors_Total_General_Practice_Other=2018,EXTENSIVE
f0461818,Medical_Medicine_Specialty_Total_Total=2018,EXTENSIVE
f0462118,Medical_Medicine_Specialty_Total_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f0462218,Medical_Medicine_Specialty_Total_Administration=2018,EXTENSIVE
f0462318,Medical_Medicine_Specialty_Total_Teaching=2018,EXTENSIVE
f0462518,Medical_Medicine_Specialty_Total_Other=2018,EXTENSIVE
f0463118,Cardiovas_Disease_Total=2018,EXTENSIVE
f0463318,Cardiovas_Disease_Patient_Care_Office_Based=2018,EXTENSIVE
f0463518,Cardiovas_Disease_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f0463618,Dermatology_Total=2018,EXTENSIVE
f0463818,Dermatology_Patient_Care_Office_Based=2018,EXTENSIVE
f0464018,Dermatology_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f0464118,Gastroenterology_Total=2018,EXTENSIVE
f0464318,Gastroenterology_Patient_Care_Office_Based=2018,EXTENSIVE
f0464518,Gastroenterology_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f0466118,Pediatric_Cardiolgy_Total=2018,EXTENSIVE
f0466318,Pediatric_Cardiolgy_Patient_Care_Office_Based=2018,EXTENSIVE
f0466518,Pediatric_Cardiolgy_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f0466618,Pulmonary_Disease_Total=2018,EXTENSIVE
f0466818,Pulmonary_Disease_Patient_Care_Office_Based=2018,EXTENSIVE
f0467018,Pulmonary_Disease_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f0467118,Surgical_Specialty_Total_Total=2018,EXTENSIVE
f0467518,Surgical_Specialty_Total_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f0467618,Surgical_Specialty_Total_Administration=2018,EXTENSIVE
f0467718,Surgical_Specialty_Total_Teaching=2018,EXTENSIVE
f0467918,Surgical_Specialty_Total_Other=2018,EXTENSIVE
f0468018,General_Surgical_Total=2018,EXTENSIVE
f0468218,General_Surgical_Patient_Care_Office_Based=2018,EXTENSIVE
f0468418,General_Surgical_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f0468518,Neurolgcal_Surgical_Total=2018,EXTENSIVE
f0468718,Neurolgcal_Surgical_Patient_Care_Office_Based=2018,EXTENSIVE
f0468918,Neurolgcal_Surgical_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f0469518,Ophthalmolgy_Total=2018,EXTENSIVE
f0469718,Ophthalmolgy_Patient_Care_Office_Based=2018,EXTENSIVE
f0469918,Ophthalmolgy_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f0470018,Orthopedic_Surgical_Total=2018,EXTENSIVE
f0470218,Orthopedic_Surgical_Patient_Care_Office_Based=2018,EXTENSIVE
f0470418,Orthopedic_Surgical_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f0470518,Otolaryngolgy_Total=2018,EXTENSIVE
f0470718,Otolaryngolgy_Patient_Care_Office_Based=2018,EXTENSIVE
f0470918,Otolaryngolgy_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f0471018,Plastic_Surgical_Total=2018,EXTENSIVE
f0471218,Plastic_Surgical_Patient_Care_Office_Based=2018,EXTENSIVE
f0471418,Plastic_Surgical_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f0471518,Colon_Rectal_Surgical_Total=2018,EXTENSIVE
f0471718,Colon_Rectal_Surgical_Patient_Care_Office_Based=2018,EXTENSIVE
f0471918,Colon_Rectal_Surgical_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f0472018,Thoracic_Surgical_Total=2018,EXTENSIVE
f0472218,Thoracic_Surgical_Patient_Care_Office_Based=2018,EXTENSIVE
f0472418,Thoracic_Surgical_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f0472518,Urology_Total=2018,EXTENSIVE
f0472718,Urology_Patient_Care_Office_Based=2018,EXTENSIVE
f0472918,Urology_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f0473018,Other_Specialty_Total_Total=2018,EXTENSIVE
f0473318,Other_Specialty_Total_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f0473418,Other_Specialty_Total_Administration=2018,EXTENSIVE
f0473518,Other_Specialty_Total_Teaching=2018,EXTENSIVE
f0473718,Other_Specialty_Total_Other=2018,EXTENSIVE
f0473818,Aerospace_Medical_Medicine_Total=2018,EXTENSIVE
f0474018,Aerospace_Medical_Medicine_Patient_Care_Office_Based=2018,EXTENSIVE
f0474218,Aerospace_Medical_Medicine_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f0474318,Anesthesiolgy_Total=2018,EXTENSIVE
f0474518,Anesthesiolgy_Patient_Care_Office_Based=2018,EXTENSIVE
f0474718,Anesthesiolgy_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f0474818,Child_Psychiatric_Total=2018,EXTENSIVE
f0475018,Child_Psychiatric_Patient_Care_Office_Based=2018,EXTENSIVE
f0475218,Child_Psychiatric_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f0475318,Diagnostic_Radiology_Total=2018,EXTENSIVE
f0475518,Diagnostic_Radiology_Patient_Care_Office_Based=2018,EXTENSIVE
