n_gt_030,n_gt_045,global_max_absCC
0,0,0.16721896269338918
0,0,0.254569550327926
1,1,0.6612776220150562
1,0,0.3163977161429241
1,0,0.30150874005207867
0,0,0.240098645776413
2,0,0.3577242484806494
0,0,0.2771849984369176
2,0,0.33867904409181293
2,0,0.3439142873178413
0,0,0.17946548895190986
0,0,0.16690005454780543
0,0,0.22516437102793507
0,0,0.23931195920888595
0,0,0.29026167247811385
9,1,0.523200158991604
5,0,0.44204609462735583
2,1,0.6390077287487085
16,4,0.5020456197378123
0,0,0.29862882758068543
0,0,0.27026389317154675
0,0,0.18885644989172737
0,0,0.20856121681134954
2,1,0.4890485631069712
4,2,0.5353433452536359
2,0,0.41151087151042476
0,0,0.25735025043032506
4,0,0.32258926891084144
0,0,0.2538620396800037
1,0,0.30062981417213974
0,0,0.22233721036498574
50,2,0.5260034334302315
0,0,0.18946084059155985
0,0,0.2611199128988785
0,0,0.16251802544303354
8,3,0.4843779002744942
0,0,0.26611121601695903
0,0,0.24938812010610598
6,1,0.5301812775934269
1,0,0.35990987193324625
0,0,0.25652594182517297
0,0,0.2528494310167864
3,0,0.3808106479306867
0,0,0.29932844371385475
0,0,0.15438383642650363
0,0,0.18461771722450063
131,33,0.7476710182383123
23,2,0.5189397908213522
0,0,0.25955794877057675
1,0,0.4245991221322811
0,0,0.22484474017775657
0,0,0.2207593313051667
1,0,0.33694741499036096
0,0,0.28266629111300845
0,0,0.24998949790095254
6,0,0.44094852991042166
0,0,0.24951895800769827
1,0,0.3680582777806172
0,0,0.19912970157753757
0,0,0.19036557089693737
0,0,0.17076428884589012
0,0,0.20217724517371116
2,1,0.5085834825201397
1,0,0.39687204489352945
0,0,0.22152161700204395
0,0,0.19037813755370916
1,0,0.39852017928200056
0,0,0.240085370999626
0,0,0.2317581243887959
13,1,0.46123679671960616
0,0,0.16403832860301418
1,1,0.5516911488760157
0,0,0.2265465793326431
1,0,0.3462129902768333
2,0,0.31285941837382386
1,0,0.3918883249963281
0,0,0.26529692557841206
0,0,0.2302786393018227
0,0,0.24720701400272344
1,0,0.3690312977047642
1,0,0.43935908070558594
0,0,0.1678260732521212
0,0,0.23591321595721346
0,0,0.2128691232484101
0,0,0.22049801024426444
0,0,0.19193743495862955
3,0,0.31453978992494885
0,0,0.21008388170917358
0,0,0.24004708783248996
85,14,0.6794411298549828
0,0,0.24914946146783165
1,0,0.36143282499196927
0,0,0.23640105172806786
1,0,0.4240522230621797
0,0,0.2711296138194941
18,2,0.6474920582214265
0,0,0.2765582395289287
1,0,0.3272837619162751
0,0,0.2569730085093286
0,0,0.265479582943208
5,1,0.5268496246743835
0,0,0.1869254959966329
0,0,0.2669627889511492
0,0,0.19664899529716284
0,0,0.2868229143969955
2,0,0.3131977008700545
1,0,0.316274663788755
24,7,0.7036474346770325
3,1,0.5082751673357803
1,0,0.3704224668798512
0,0,0.21091355685912808
0,0,0.26949433690207647
0,0,0.19536148750488527
0,0,0.19041608566222967
0,0,0.20970318868640495
10,0,0.3480323238483647
1,0,0.31165770386790276
0,0,0.15147907069262592
2,0,0.43177866218950645
0,0,0.19399507479714437
0,0,0.26431606577216127
0,0,0.23676916310608626
0,0,0.16092673586292455
2,0,0.32170987090107045
1,0,0.3243891142466376
0,0,0.27064700690986826
0,0,0.2840697232007751
0,0,0.29752235105984737
0,0,0.27133723480328026
2,1,0.47813819179204076
0,0,0.25266102888226827
6,0,0.420947597067074
0,0,0.28275849542102793
0,0,0.2064325607366897
0,0,0.26366616521830305
0,0,0.1869426914869819
2,0,0.30171325634774865
1,0,0.340947654992183
0,0,0.19620465479359375
0,0,0.21684582410065098
0,0,0.2965052289897969
2,0,0.3103177709637133
6,2,0.7051258731292569
30,0,0.3951770616628344
0,0,0.25251969099751786
