metric,asedx_p_2017,LP_asedx_p_2017,asedx_p_2017_GE65,LP_asedx_p_2017_GE65,asedx_p_2017_LT65,LP_asedx_p_2017_LT65,asedx_p_2018,LP_asedx_p_2018,asedx_p_2018_GE65,LP_asedx_p_2018_GE65,asedx_p_2018_LT65,LP_asedx_p_2018_LT65,asedx_p_2019,LP_asedx_p_2019,asedx_p_2019_GE65,LP_asedx_p_2019_GE65,asedx_p_2019_LT65,LP_asedx_p_2019_LT65,asedx_p_2020,LP_asedx_p_2020,asedx_p_2020-2023,LP_asedx_p_2020-2023,asedx_p_2020-2023_GE65,LP_asedx_p_2020-2023_GE65,asedx_p_2020-2023_LT65,LP_asedx_p_2020-2023_LT65,asedx_p_2020_GE65,LP_asedx_p_2020_GE65,asedx_p_2020_LT65,LP_asedx_p_2020_LT65,asedx_p_2021,LP_asedx_p_2021,asedx_p_2021_GE65,LP_asedx_p_2021_GE65,asedx_p_2021_LT65,LP_asedx_p_2021_LT65,asedx_p_2022,LP_asedx_p_2022,asedx_p_2022_GE65,LP_asedx_p_2022_GE65,asedx_p_2022_LT65,LP_asedx_p_2022_LT65,asedx_p_2023,LP_asedx_p_2023,asedx_p_2023_GE65,LP_asedx_p_2023_GE65,asedx_p_2023_LT65,LP_asedx_p_2023_LT65,asedx_p_2024,LP_asedx_p_2024,asedx_p_2024_GE65,LP_asedx_p_2024_GE65,asedx_p_2024_LT65,LP_asedx_p_2024_LT65,Sum_|LP|_LP<=-5.0
f1549118,-0.062553,-0.531,-0.024738,-0.168,-0.082677,-0.781,0.000792,-0.005,0.009644,-0.06,-0.003738,-0.022,0.034279,-0.247,-0.009042,-0.056,0.081885,-0.771,0.261058,-5.063,0.501071,-18.661,0.44459,-14.409,0.40375,-11.79,0.241006,-4.377,0.247072,-4.578,0.61419,-29.998,0.53175,-21.322,0.526631,-20.859,0.405897,-11.919,0.347296,-8.713,0.277398,-5.666,0.315493,-7.229,0.26178,-5.089,0.211163,-3.458,0.339774,-8.347,0.315641,-7.236,0.231913,-4.084,176.301
f1548718,-0.056105,-0.46,-0.01614,-0.104,-0.082162,-0.774,0.002321,-0.014,0.016735,-0.108,-0.012122,-0.076,0.027642,-0.192,-0.023345,-0.157,0.090308,-0.887,0.340029,-8.359,0.488362,-17.634,0.410431,-12.194,0.431385,-13.523,0.312528,-7.099,0.32195,-7.517,0.574287,-25.493,0.479336,-16.931,0.510846,-19.48,0.370268,-9.894,0.290194,-6.166,0.293151,-6.285,0.274049,-5.54,0.193656,-2.974,0.237827,-4.273,0.287125,-6.044,0.250703,-4.702,0.22671,-3.921,162.159
f1551518,-0.049093,-0.386,-0.009387,-0.058,-0.083114,-0.787,-0.007641,-0.047,0.003847,-0.023,-0.00988,-0.061,0.032465,-0.232,-0.014927,-0.095,0.089774,-0.879,0.247783,-4.602,0.484232,-17.31,0.415167,-12.487,0.424212,-13.058,0.221991,-3.777,0.251911,-4.743,0.590916,-27.295,0.504615,-18.955,0.526431,-20.841,0.395699,-11.314,0.323024,-7.566,0.30372,-6.722,0.315228,-7.218,0.246619,-4.563,0.243461,-4.458,0.324258,-7.622,0.287326,-6.052,0.251662,-4.734,156.44
f1551118,-0.04911,-0.387,-0.006208,-0.038,-0.085738,-0.823,-0.004886,-0.029,0.011189,-0.07,-0.016708,-0.108,0.028508,-0.199,-0.026304,-0.181,0.098854,-1.013,0.315554,-7.232,0.468949,-16.146,0.383713,-10.629,0.44168,-14.21,0.285407,-5.976,0.311493,-7.054,0.543743,-22.439,0.449525,-14.75,0.498887,-18.481,0.361575,-9.436,0.272482,-5.481,0.31327,-7.132,0.276955,-5.649,0.186465,-2.787,0.264872,-5.201,0.281875,-5.838,0.234593,-4.169,0.249137,-4.648,155.654
f1549218,-0.07584,-0.692,-0.032378,-0.231,-0.09379,-0.937,-0.007482,-0.046,0.003155,-0.019,-0.009956,-0.062,0.055717,-0.455,0.006277,-0.038,0.099904,-1.029,0.23859,-4.298,0.477914,-16.822,0.424895,-13.101,0.392784,-11.145,0.226824,-3.925,0.210885,-3.45,0.517774,-20.076,0.453658,-15.039,0.440377,-14.122,0.414431,-12.441,0.347103,-8.704,0.307495,-6.882,0.336198,-8.176,0.271649,-5.45,0.249274,-4.653,0.356446,-9.172,0.323292,-7.578,0.259641,-5.013,153.721
f1548818,-0.063996,-0.548,-0.019119,-0.126,-0.090574,-0.891,-0.004807,-0.029,0.011653,-0.073,-0.018149,-0.119,0.04276,-0.324,-0.014098,-0.09,0.105289,-1.113,0.334299,-8.086,0.468259,-16.095,0.388852,-10.92,0.429515,-13.4,0.311666,-7.062,0.306236,-6.829,0.49235,-17.952,0.409479,-12.136,0.442257,-14.249,0.372765,-10.028,0.282017,-5.844,0.32123,-7.485,0.284434,-5.938,0.1902,-2.883,0.274639,-5.562,0.290992,-6.198,0.24449,-4.492,0.249695,-4.667,147.784
f1554418,-0.078834,-0.73,-0.044662,-0.343,-0.07882,-0.73,0.011455,-0.072,0.01566,-0.101,0.005672,-0.034,0.039607,-0.295,0.003826,-0.023,0.068253,-0.598,0.266195,-5.249,0.475807,-16.661,0.44294,-14.296,0.335431,-8.14,0.257564,-4.94,0.220949,-3.746,0.558899,-23.915,0.495009,-18.166,0.447897,-14.636,0.38727,-10.83,0.351358,-8.915,0.222035,-3.778,0.291063,-6.201,0.259541,-5.009,0.156044,-2.067,0.33132,-7.947,0.32522,-7.665,0.186386,-2.785,147.63
f1322518,-0.057292,-0.468,-0.026447,-0.18,-0.066236,-0.568,0.005615,-0.034,0.024111,-0.162,-0.015685,-0.1,0.026419,-0.18,-0.020215,-0.133,0.077031,-0.699,0.456288,-15.008,0.516853,-19.707,0.422295,-12.751,0.423251,-12.811,0.428191,-13.125,0.388732,-10.759,0.518355,-19.836,0.41882,-12.535,0.448751,-14.486,0.340232,-8.253,0.244731,-4.44,0.264449,-5.116,0.228569,-3.927,0.130758,-1.536,0.211392,-3.419,0.240166,-4.291,0.199562,-3.093,0.183944,-2.688,144.387
f1548318,-0.05795,-0.48,-0.019209,-0.126,-0.079622,-0.74,0.002554,-0.015,0.022138,-0.148,-0.02009,-0.133,0.029859,-0.21,-0.024783,-0.169,0.095911,-0.969,0.362221,-9.47,0.47124,-16.317,0.387048,-10.817,0.43127,-13.515,0.335307,-8.134,0.336031,-8.168,0.531624,-21.311,0.436251,-13.845,0.47867,-16.88,0.349562,-8.826,0.259395,-5.004,0.300219,-6.575,0.25637,-4.898,0.164961,-2.266,0.24967,-4.666,0.26819,-5.322,0.22612,-3.903,0.226901,-3.927,144.184
f1553918,-0.060864,-0.512,-0.028403,-0.198,-0.070158,-0.621,0.012491,-0.079,0.023151,-0.156,-0.004117,-0.025,0.023605,-0.16,-0.017562,-0.114,0.070137,-0.62,0.350014,-8.848,0.476884,-16.743,0.415684,-12.519,0.381565,-10.51,0.328277,-7.806,0.31307,-7.123,0.571249,-25.175,0.482866,-17.203,0.486298,-17.471,0.352309,-8.963,0.292158,-6.245,0.239369,-4.323,0.246848,-4.571,0.187763,-2.82,0.178829,-2.596,0.270202,-5.396,0.252362,-4.759,0.175396,-2.512,144.002
