sc_id,Super-cluster,1960,1970,1976,1990,2000,2001,2003,2004,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,,Total
1,"Race, Ethnicity and Population by Age",0,0,0,0,0,0,0,0,436,0,0,3,0,0,0,24,0,0,0,463
2,"Geography, Environment and Housing",1,1,1,1,7,0,0,4,22,0,2,10,12,0,0,1,6,8,18,94
3,"Socioeconomic, Insurance and Demographic Characteristics",0,0,0,0,0,0,0,0,103,0,0,255,0,3,0,47,4,0,0,412
4,Vital Statistics and Total Physician Counts,0,0,0,0,0,0,0,0,2,0,0,3,0,55,0,23,5,0,0,88
5,"Poverty, Insurance Coverage and Public Programs",0,0,0,0,0,0,0,0,8,11,0,36,0,4,3,86,28,0,0,176
6,"Primary Care, Generalist and Diagnostic Physicians",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,586,2,0,0,597
7,"Surgical, Procedural and Specialty Physicians",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,270
8,Commuting and Industry Employment,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,11,0,0,1,48
9,Aggregate Physician and Facility Totals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,180
10,Hospital Telehealth and Advanced Imaging Services,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,41,0,0,0,43
11,Hospital Capacity and Nursing and Allied Staffing,0,0,0,0,0,2,13,0,16,0,17,2,0,0,0,270,50,3,1,374
