sc_id,Super-cluster,n,median_year,min_year,max_year,pct_2019_or_later
1,"Race, Ethnicity and Population by Age",463,2010.0,2010.0,2018.0,0.0
2,"Geography, Environment and Housing",94,2013.0,1960.0,2020.0,14.893617021276595
3,"Socioeconomic, Insurance and Demographic Characteristics",412,2014.0,2010.0,2019.0,0.9708737864077669
4,Vital Statistics and Total Physician Counts,88,2016.0,2010.0,2019.0,5.681818181818182
5,"Poverty, Insurance Coverage and Public Programs",176,2018.0,2010.0,2019.0,15.909090909090908
6,"Primary Care, Generalist and Diagnostic Physicians",597,2018.0,2016.0,2019.0,0.33500837520938026
7,"Surgical, Procedural and Specialty Physicians",270,2018.0,2018.0,2018.0,0.0
8,Commuting and Industry Employment,48,2014.0,2014.0,2018.0,0.0
9,Aggregate Physician and Facility Totals,180,2018.0,2018.0,2018.0,0.0
10,Hospital Telehealth and Advanced Imaging Services,43,2018.0,2010.0,2018.0,0.0
11,Hospital Capacity and Nursing and Allied Staffing,374,2018.0,2001.0,2020.0,14.171122994652407
