cluster,n_above_0.30,cluster_label,sc_id
24,32,,3
48,28,,1
47,26,,1
27,23,,5
3,22,,5
35,21,,3
44,20,,1
26,20,,3
7,19,,3
49,17,,1
29,13,,3
58,12,,3
1,12,,3
6,12,,3
83,11,,6
81,10,,9
50,10,,6
14,10,,4
12,9,,8
59,9,,3
5,9,,5
87,8,,9
33,8,,1
43,8,,1
76,8,,6
18,7,,2
79,6,,6
23,6,,8
86,5,,6
66,5,,11
34,4,,3
110,4,,7
21,4,,2
73,4,,6
102,3,,9
109,3,,7
112,3,,7
119,3,,7
80,3,,6
61,3,,5
120,3,,7
62,3,,5
31,3,,1
37,3,,1
19,2,,2
113,2,,7
30,2,,2
105,2,,6
92,2,,9
46,2,,1
13,1,,4
41,1,,1
84,1,,6
2,1,,3
82,1,,6
55,1,,11
22,1,,3
78,1,,6
