k,n_clusters,silhouette
2,2,0.11448020886341657
3,3,0.07602083705941735
5,5,0.07755245171959484
8,8,0.0725732415709862
10,10,0.08481709369125379
15,15,0.10911288324555679
20,20,0.13969977279652196
30,30,0.18291154820316885
40,40,0.22432234470804488
50,50,0.2581084852133428
60,60,0.29889799767419256
70,70,0.3276944193214821
80,80,0.34466829018962125
90,90,0.3627897617118325
100,100,0.3872919003930261
110,110,0.4068658490017874
120,120,0.42285163017502914
130,130,0.4325621266347815
140,140,0.43562816837284773
150,150,0.44475207940171313
175,175,0.4615172026477759
200,200,0.4774445739493609
225,225,0.49379763375371855
250,250,0.5031528448157618
275,275,0.5179885816629285
300,300,0.529979730275712
350,350,0.5500569321830375
400,400,0.5695033527943778
450,450,0.5850619987151175
500,500,0.5954068129179129
550,550,0.6100507320133532
600,600,0.6186527390797882
700,700,0.6366091573524202
800,800,0.6500578872593462
900,900,0.6600906259982467
1000,1000,0.6600011674801406
