SC,Variable,Yr,Pearson,Spearman
3,Per 25+ with 4+ Year College White non Hispanic,2021,-0.54,-0.62
3,% Female 40 64 without Health Insurance,2021,0.53,0.63
3,#White non Hispanic Household Income $100 000+,2021,-0.53,-0.62
3,% Female 18 64 without Health Insurance,2021,0.53,0.62
3,Persons 25+ with 4+ Years College,2021,-0.53,-0.58
3,Nonveterans 25+ with 4+ Years College,2021,-0.53,-0.58
3,Nonveterans 25+ with High School Diploma +,2021,-0.52,-0.61
5,% 40 64 without Health Insurance,2021,0.52,0.62
3,Personal Persons 25+ with 4+ Years College White,2021,-0.52,-0.59
3,Household Income $100 000+,2021,-0.52,-0.59
5,% 18 64 without Health Insurance,2021,0.52,0.6
3,% Personal Persons 25+ with <High School Diploma Whi…,2021,0.52,0.59
3,% Personal Persons 25+ with High School Diploma or m…,2021,-0.52,-0.59
3,Ratio of Income to Poverty Level 2.0+,2021,-0.51,-0.57
3,% Females <65 without Health Insurance,2021,0.51,0.61
3,Ratio of Income to Poverty Level 1.25 1.49,2021,0.51,0.61
3,Employed Female in Civilian Labor Force,2021,-0.51,-0.58
3,Median Family Income,2021,-0.51,-0.58
3,# White Households Income $100 000+,2021,-0.51,-0.58
3,Ratio of Income to Poverty Level 1.5 1.84,2021,0.51,0.6
