Super-cluster,N,pct_mod_P,pct_mod_S,strong_P,strong_S,max_P,max_S
"1. Race, Ethnicity and Population by Age",463,25.1,36.7,4,4,0.50,0.46
"2. Geography, Environment and Housing",88,17.0,34.1,0,0,0.43,0.44
"3. Socioeconomic, Insurance and Demographic Characteristics",412,37.9,54.4,50,88,0.54,0.63
4. Vital Statistics and Total Physician Counts,88,12.5,36.4,0,1,0.37,0.49
"5. Poverty, Insurance Coverage and Public Programs",175,34.3,46.9,18,47,0.52,0.65
"6. Primary Care, Generalist and Diagnostic Physicians",590,8.8,18.0,0,1,0.42,0.47
"7. Surgical, Procedural and Specialty Physicians",266,6.8,13.9,0,0,0.33,0.39
8. Commuting and Industry Employment,48,31.2,37.5,5,4,0.50,0.55
9. Aggregate Physician and Facility Totals,180,12.8,21.7,0,0,0.37,0.42
10. Hospital Telehealth and Advanced Imaging Services,43,0.0,4.7,0,0,0.26,0.34
11. Hospital Capacity and Nursing and Allied Staffing,374,1.6,4.8,0,1,0.36,0.45
