sem100,medoid,cluster_size,best_cc
1,f1477810,36,0.4039
2,f1476110,16,0.349
3,f1548518,35,0.4002
4,f1477610,14,-0.1626
5,f1548718,19,0.3762
6,f1445814,42,-0.3463
7,f1447014,32,-0.3578
8,f1195316,11,-0.1486
9,f1316516,12,-0.1333
10,f1255016,18,-0.1304
11,f1192616,30,-0.1492
12,f1459914,24,-0.3562
13,f1255718,13,-0.3029
14,f0482018,16,-0.1733
15,f0954118,12,-0.0889
16,f0959618,10,-0.1037
17,f04110,13,-0.0693
18,f1397315,27,0.2788
19,f1389120,13,-0.0963
20,f1526419,7,-0.1209
21,f0884310,14,-0.2215
22,f1460714,9,-0.3565
23,f1458314,24,0.3564
24,f1456814,66,-0.3619
25,f1437114,16,0.1617
26,f1439614,48,-0.3668
27,f1441914,38,0.3757
28,f1546519,15,0.3334
29,f1322618,17,-0.3595
30,f1367600,20,-0.1328
31,f1345710,25,-0.1203
32,f1358310,9,-0.0598
33,f0453510,16,-0.2054
34,f1350110,30,-0.1466
35,f1347310,38,0.2459
36,f1337210,39,-0.0759
37,f1353810,42,0.1521
38,f1149310,30,0.1687
39,f0453310,18,0.1583
40,f0481318,15,-0.0703
41,f0670410,28,-0.2385
42,f1334410,30,-0.136
43,f0851710,30,-0.2628
44,f1154510,28,0.1926
45,f1340410,30,0.1485
46,f0852710,41,0.1597
47,f1344310,32,-0.2765
48,f1157110,28,0.2097
49,f1487610,37,-0.2733
50,f1318318,41,-0.2428
51,f1414318,22,-0.1286
52,f0931418,16,-0.153
53,f0932418,20,-0.162
54,f1531013,8,-0.0916
55,f1482610,41,-0.2457
56,f1322810,21,-0.1341
57,f1480418,25,-0.0758
58,f1538214,23,-0.3409
59,f1539314,25,-0.2152
60,f1545019,14,-0.1058
61,f1530418,20,0.2513
62,f1529218,35,0.2592
63,f1412018,20,-0.0999
64,f1133718,19,-0.0736
65,f1140018,51,-0.1519
66,f1490319,33,-0.2891
67,f1558018,19,0.1315
68,f0889518,12,0.0841
69,f1557218,15,0.0772
70,f1525419,31,0.1559
71,f1262118,53,-0.1205
72,f0479318,15,-0.0587
73,f0982818,15,-0.1464
74,f1403518,57,-0.1374
75,f1474618,62,-0.1195
76,f1109318,18,-0.1277
77,f0478818,15,-0.0794
78,f0461018,33,-0.1609
79,f0481818,16,-0.1908
80,f1172418,15,-0.1264
81,f0461818,15,-0.14
82,f1200618,28,-0.1582
83,f1467818,26,-0.1897
84,f1168418,36,-0.1256
85,f1171418,15,-0.1102
86,f1170418,18,-0.1173
87,f0473018,33,-0.1665
88,f1365018,21,-0.0603
89,f0471018,15,-0.1198
90,f0470018,18,-0.1453
91,f0468018,18,-0.1166
92,f0467118,27,-0.1407
93,f0472018,15,-0.0776
94,f0466618,15,-0.0988
95,f0496418,25,-0.0895
96,f1363518,15,-0.0266
97,f0463118,15,-0.0971
98,f0477818,15,-0.1137
99,f0475818,15,0.0714
100,f1400518,24,-0.1017
101,f0475318,30,-0.1163
102,f0460518,10,-0.1427
103,f0473818,15,0.0545
104,f0476818,15,0.0666
105,f0478318,14,-0.156
106,f1242918,16,-0.0779
107,f0512618,15,-0.1078
108,f0981618,15,-0.0653
109,f0477318,18,-0.1461
110,f0474818,15,-0.1443
111,f0470918,15,-0.0903
112,f0469518,15,-0.1201
113,f0474318,15,-0.1668
114,f0476318,15,-0.1152
115,f0468518,15,-0.1025
116,f0464118,15,-0.1056
117,f0471518,15,-0.092
118,f0472518,15,-0.0871
119,f0463618,15,-0.1402
120,f1167518,15,-0.1144
